sample-name	group-id	group-desc
#16 N7.05	HSD-NC	Grupo dieta high-sugar
#17 N8.05	HSD-NC	Grupo dieta high-sugar
#18 N8.06	HSD-NC	Grupo dieta high-sugar
#26 N1-04	HSD-NC	Grupo dieta high-sugar
#27 N2.04	HSD-NC	Grupo dieta high-sugar
#28 N3.04	HSD-NC	Grupo dieta high-sugar
#29 N4.03	HSD-NC	Grupo dieta high-sugar
#30 N4.04	HSD-NC	Grupo dieta high-sugar
#19 N7.07	HSD-NR	Grupo dieta high-sugar
#20 N7.07	HSD-NR	Grupo dieta high-sugar
#21 N8.08	HSD-NR	Grupo dieta high-sugar
#35 N1.05	HSD-NR	Grupo dieta high-sugar
#36 N2.05	HSD-NR	Grupo dieta high-sugar
#37 N3.05	HSD-NR	Grupo dieta high-sugar
#38 N3.06	HSD-NR	Grupo dieta high-sugar
