sample-name	group-id	group-desc
#10 N7.01	STD-NC	Grupo dieta padrão
#11 N7.02	STD-NC	Grupo dieta padrão
#12 N8.01	STD-NC	Grupo dieta padrão
#22 N1.01	STD-NC	Grupo dieta padrão
#23 N3.01	STD-NC	Grupo dieta padrão
#24 N4.01	STD-NC	Grupo dieta padrão
#25 N4.02	STD-NC	Grupo dieta padrão
#16 N7.05	HSD-NC	Grupo dieta high-sugar
#17 N8.05	HSD-NC	Grupo dieta high-sugar
#18 N8.06	HSD-NC	Grupo dieta high-sugar
#26 N1-04	HSD-NC	Grupo dieta high-sugar
#27 N2.04	HSD-NC	Grupo dieta high-sugar
#28 N3.04	HSD-NC	Grupo dieta high-sugar
#29 N4.03	HSD-NC	Grupo dieta high-sugar
#30 N4.04	HSD-NC	Grupo dieta high-sugar
