sample-name	group-id	group-desc
#10 N7.01	STD-NC	Grupo dieta padrão
#11 N7.02	STD-NC	Grupo dieta padrão
#12 N8.01	STD-NC	Grupo dieta padrão
#22 N1.01	STD-NC	Grupo dieta padrão
#23 N3.01	STD-NC	Grupo dieta padrão
#24 N4.01	STD-NC	Grupo dieta padrão
#25 N4.02	STD-NC	Grupo dieta padrão
#13 N7.03	STD-NR	Grupo dieta padrão
#14 N7.04	STD-NR	Grupo dieta padrão
#15 N8.03	STD-NR	Grupo dieta padrão
#31 N1.02	STD-NR	Grupo dieta padrão
#32 N1.03	STD-NR	Grupo dieta padrão
#33 N2.02	STD-NR	Grupo dieta padrão
#34 N2.03	STD-NR	Grupo dieta padrão
