sample-name	group-id	group-desc
#13 N7.03	STD-NR	Grupo dieta padrão
#14 N7.04	STD-NR	Grupo dieta padrão
#15 N8.03	STD-NR	Grupo dieta padrão
#31 N1.02	STD-NR	Grupo dieta padrão
#32 N1.03	STD-NR	Grupo dieta padrão
#33 N2.02	STD-NR	Grupo dieta padrão
#34 N2.03	STD-NR	Grupo dieta padrão
#19 N7.07	HSD-NR	Grupo dieta high-sugar
#20 N7.07	HSD-NR	Grupo dieta high-sugar
#21 N8.08	HSD-NR	Grupo dieta high-sugar
#35 N1.05	HSD-NR	Grupo dieta high-sugar
#36 N2.05	HSD-NR	Grupo dieta high-sugar
#37 N3.05	HSD-NR	Grupo dieta high-sugar
#38 N3.06	HSD-NR	Grupo dieta high-sugar
