sample-id,absolute-filepath,direction
N9.01,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121673-1-1-1_S81_L001_R1_001.fastq,forward
N9.01,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121673-1-1-1_S81_L001_R2_001.fastq,reverse
N11.01,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121674-1-1-1_S83_L001_R1_001.fastq,forward
N11.01,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121674-1-1-1_S83_L001_R2_001.fastq,reverse
N9.05,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121675-1-1-1_S85_L001_R1_001.fastq,forward
N9.05,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121675-1-1-1_S85_L001_R2_001.fastq,reverse
N11.02,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121676-1-1-1_S87_L001_R1_001.fastq,forward
N11.02,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121676-1-1-1_S87_L001_R2_001.fastq,reverse
N9.03,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121677-1-1-1_S89_L001_R1_001.fastq,forward
N9.03,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121677-1-1-1_S89_L001_R2_001.fastq,reverse
N10.03,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121678-1-1-1_S91_L001_R1_001.fastq,forward
N10.03,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121678-1-1-1_S91_L001_R2_001.fastq,reverse
N10.04,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121679-1-1-1_S93_L001_R1_001.fastq,forward
N10.04,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121679-1-1-1_S93_L001_R2_001.fastq,reverse
N10.07,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121680-1-1-1_S95_L001_R1_001.fastq,forward
N10.07,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121680-1-1-1_S95_L001_R2_001.fastq,reverse
N10.08,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121681-1-1-1_S82_L001_R1_001.fastq,forward
N10.08,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121681-1-1-1_S82_L001_R2_001.fastq,reverse
N7.01,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121682-1-1-1_S84_L001_R1_001.fastq,forward
N7.01,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121682-1-1-1_S84_L001_R2_001.fastq,reverse
N7.02,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121683-1-1-1_S86_L001_R1_001.fastq,forward
