sample-id,absolute-filepath,direction
210421121673,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121673-1-1-1_S81_L001_R1_001.fastq,forward
210421121673,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121673-1-1-1_S81_L001_R2_001.fastq,reverse
210421121674,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121674-1-1-1_S83_L001_R1_001.fastq,forward
210421121674,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121674-1-1-1_S83_L001_R2_001.fastq,reverse
210421121675,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121675-1-1-1_S85_L001_R1_001.fastq,forward
210421121675,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121675-1-1-1_S85_L001_R2_001.fastq,reverse
210421121676,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121676-1-1-1_S87_L001_R1_001.fastq,forward
210421121676,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121676-1-1-1_S87_L001_R2_001.fastq,reverse
210421121682,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121682-1-1-1_S84_L001_R1_001.fastq,forward
210421121682,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121682-1-1-1_S84_L001_R2_001.fastq,reverse
210421121683,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121683-1-1-1_S86_L001_R1_001.fastq,forward
210421121683,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121683-1-1-1_S86_L001_R2_001.fastq,reverse
210421121684,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121684-1-1-1_S88_L001_R1_001.fastq,forward
210421121684,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121684-1-1-1_S88_L001_R2_001.fastq,reverse
210421121694,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121694-1-1-1_S107_L001_R1_001.fastq,forward
210421121694,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121694-1-1-1_S107_L001_R2_001.fastq,reverse
210421121695,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121695-1-1-1_S109_L001_R1_001.fastq,forward
210421121695,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121695-1-1-1_S109_L001_R2_001.fastq,reverse
210421121696,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121696-1-1-1_S111_L001_R1_001.fastq,forward
210421121696,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121696-1-1-1_S111_L001_R2_001.fastq,reverse
210421121697,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121697-1-1-1_S98_L001_R1_001.fastq,forward
210421121697,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121697-1-1-1_S98_L001_R2_001.fastq,reverse
