sample-id	sample-name	group-id	group-desc
210421121688	#16 N7.05	HSD-NC	Grupo dieta high-sugar
210421121689	#17 N8.05	HSD-NC	Grupo dieta high-sugar
210421121690	#18 N8.06	HSD-NC	Grupo dieta high-sugar
210421121698	#26 N1-04	HSD-NC	Grupo dieta high-sugar
210421121699	#27 N2.04	HSD-NC	Grupo dieta high-sugar
210421121700	#28 N3.04	HSD-NC	Grupo dieta high-sugar
210421121701	#29 N4.03	HSD-NC	Grupo dieta high-sugar
210421121702	#30 N4.04	HSD-NC	Grupo dieta high-sugar
210421121691	#19 N7.07	HSD-NR	Grupo dieta high-sugar
210421121692	#20 N7.07	HSD-NR	Grupo dieta high-sugar
210421121693	#21 N8.08	HSD-NR	Grupo dieta high-sugar
210421121707	#35 N1.05	HSD-NR	Grupo dieta high-sugar
210421121708	#36 N2.05	HSD-NR	Grupo dieta high-sugar
210421121709	#37 N3.05	HSD-NR	Grupo dieta high-sugar
210421121710	#38 N3.06	HSD-NR	Grupo dieta high-sugar
