sample-id	sample-name	group-id	group-desc
210421121673	#1 N9.01	NC	Ninhada controle
210421121674	#2 N11.01	NC	Ninhada controle
210421121675	#3 N9.05	NC	Ninhada controle
210421121676	#4 N11.02	NC	Ninhada controle
210421121682	#10 N7.01	STD-NC	Grupo dieta padrão
210421121683	#11 N7.02	STD-NC	Grupo dieta padrão
210421121684	#12 N8.01	STD-NC	Grupo dieta padrão
210421121694	#22 N1.01	STD-NC	Grupo dieta padrão
210421121695	#23 N3.01	STD-NC	Grupo dieta padrão
210421121696	#24 N4.01	STD-NC	Grupo dieta padrão
210421121697	#25 N4.02	STD-NC	Grupo dieta padrão
