sample-id	sample-name	group-id	group-desc
S210421121677	#5 N9.03	NR	Ninhada reduzida
S210421121678	#6 N10.03	NR	Ninhada reduzida
S210421121679	#7 N10.04	NR	Ninhada reduzida
S210421121680	#8 N10.07	NR	Ninhada reduzida
S210421121681	#9 N10.08	NR	Ninhada reduzida
S210421121691	#19 N7.07	HSD-NR	Grupo dieta high-sugar
S210421121692	#20 N7.07	HSD-NR	Grupo dieta high-sugar
S210421121693	#21 N8.08	HSD-NR	Grupo dieta high-sugar
S210421121707	#35 N1.05	HSD-NR	Grupo dieta high-sugar
S210421121708	#36 N2.05	HSD-NR	Grupo dieta high-sugar
S210421121709	#37 N3.05	HSD-NR	Grupo dieta high-sugar
S210421121710	#38 N3.06	HSD-NR	Grupo dieta high-sugar
