sample-id	sample-name	group-id	group-desc
S210421121682	#10 N7.01	STD-NC	Grupo dieta padrão
S210421121683	#11 N7.02	STD-NC	Grupo dieta padrão
S210421121684	#12 N8.01	STD-NC	Grupo dieta padrão
S210421121694	#22 N1.01	STD-NC	Grupo dieta padrão
S210421121695	#23 N3.01	STD-NC	Grupo dieta padrão
S210421121696	#24 N4.01	STD-NC	Grupo dieta padrão
S210421121697	#25 N4.02	STD-NC	Grupo dieta padrão
S210421121688	#16 N7.05	HSD-NC	Grupo dieta high-sugar
S210421121689	#17 N8.05	HSD-NC	Grupo dieta high-sugar
S210421121690	#18 N8.06	HSD-NC	Grupo dieta high-sugar
S210421121698	#26 N1-04	HSD-NC	Grupo dieta high-sugar
S210421121699	#27 N2.04	HSD-NC	Grupo dieta high-sugar
S210421121700	#28 N3.04	HSD-NC	Grupo dieta high-sugar
S210421121701	#29 N4.03	HSD-NC	Grupo dieta high-sugar
S210421121702	#30 N4.04	HSD-NC	Grupo dieta high-sugar
