sample-id	sample-name	group-id	group-desc
S210421121682	#10 N7.01	STD-NC	Grupo dieta padrão
S210421121683	#11 N7.02	STD-NC	Grupo dieta padrão
S210421121684	#12 N8.01	STD-NC	Grupo dieta padrão
S210421121694	#22 N1.01	STD-NC	Grupo dieta padrão
S210421121695	#23 N3.01	STD-NC	Grupo dieta padrão
S210421121696	#24 N4.01	STD-NC	Grupo dieta padrão
S210421121697	#25 N4.02	STD-NC	Grupo dieta padrão
S210421121685	#13 N7.03	STD-NR	Grupo dieta padrão
S210421121686	#14 N7.04	STD-NR	Grupo dieta padrão
S210421121687	#15 N8.03	STD-NR	Grupo dieta padrão
S210421121703	#31 N1.02	STD-NR	Grupo dieta padrão
S210421121704	#32 N1.03	STD-NR	Grupo dieta padrão
S210421121705	#33 N2.02	STD-NR	Grupo dieta padrão
S210421121706	#34 N2.03	STD-NR	Grupo dieta padrão
