sample-id	sample-name	group-id	group-desc
210421121685	#13 N7.03	STD-NR	Grupo dieta padrão
210421121686	#14 N7.04	STD-NR	Grupo dieta padrão
210421121687	#15 N8.03	STD-NR	Grupo dieta padrão
210421121703	#31 N1.02	STD-NR	Grupo dieta padrão
210421121704	#32 N1.03	STD-NR	Grupo dieta padrão
210421121705	#33 N2.02	STD-NR	Grupo dieta padrão
210421121706	#34 N2.03	STD-NR	Grupo dieta padrão
210421121691	#19 N7.07	HSD-NR	Grupo dieta high-sugar
210421121692	#20 N7.07	HSD-NR	Grupo dieta high-sugar
210421121693	#21 N8.08	HSD-NR	Grupo dieta high-sugar
210421121707	#35 N1.05	HSD-NR	Grupo dieta high-sugar
210421121708	#36 N2.05	HSD-NR	Grupo dieta high-sugar
210421121709	#37 N3.05	HSD-NR	Grupo dieta high-sugar
210421121710	#38 N3.06	HSD-NR	Grupo dieta high-sugar
