sample-id	sample-name
210421121673	#1 N9.01
210421121674	#2 N11.01
210421121675	#3 N9.05
210421121676	#4 N11.02
210421121677	#5 N9.03
210421121678	#6 N10.03
210421121679	#7 N10.04
210421121680	#8 N10.07
210421121681	#9 N10.08
210421121682	#10 N7.01
210421121683	#11 N7.02
210421121684	#12 N8.01
210421121685	#13 N7.03
210421121686	#14 N7.04
210421121687	#15 N8.03
210421121688	#16 N7.05
210421121689	#17 N8.05
210421121690	#18 N8.06
210421121691	#19 N7.07
210421121692	#20 N7.07
210421121693	#21 N8.08
210421121694	#22 N1.01
210421121695	#23 N3.01
210421121696	#24 N4.01
210421121697	#25 N4.02
210421121698	#26 N1-04
210421121699	#27 N2.04
210421121700	#28 N3.04
210421121701	#29 N4.03
210421121702	#30 N4.04
210421121703	#31 N1.02
210421121704	#32 N1.03
210421121705	#33 N2.02
210421121706	#34 N2.03
210421121707	#35 N1.05
210421121708	#36 N2.05
210421121709	#37 N3.05
210421121710	#38 N3.06
210421121711	#39 N1.04
210421121712	#40 N3.09
210421121713	#41 N1.03
210421121714	#42 N2.02
210421121715	#43 N2.07
210421121716	#44 N3.08
210421121717	#45 N2.08
210421121718	#46 N2.11
210421121719	#47 N2.12
210421121720	#48 N3.03
210421121721	#49 N3.07
210421121722	#50 N3.11
210421121723	#51 3d.C1
210421121724	#52 3d.M1
210421121725	#53 3d.A1
210421121726	#54 3d.AM1
210421121727	#55 3d.C2
210421121728	#56 3d.M2
210421121729	#57 3d.A2
210421121730	#58 3d.AM2
210421121731	#59 3d.C3
210421121732	#60 3d.M3
210421121733	#61 3d.A3
210421121734	#62 3d.AM3
210707163906	#63 7d.C1
210707163907	#64 7d.M1
210707163908	#65 7d.A1
210707163909	#66 7d.AM1
210707163910	#67 7d.C2
210707163911	#68 7d.M2
210707163912	#69 7d.A2
210707163913	#70 7d.AM2
210707163914	#71 7d.C3
210707163915	#72 7d.M3
210707163916	#73 7d.A3
210707163917	#74 7d.AM3

