	S210421121688	S210421121689	S210421121690	S210421121691	S210421121692	S210421121693	S210421121698	S210421121699	S210421121700	S210421121701	S210421121702	S210421121707	S210421121708	S210421121709	S210421121710
K00001	26549.171136362067	8503.049366361229	8651.039452932593	39801.31100332141	9040.713085968062	12227.868046265305	1121.4335370135195	5702.154976697471	2752.873510441961	4316.220026554235	1094.031177057203	12917.070974858609	4889.041740479361	7677.699039302981	926.8226765616882
K00002	1264.9785171869116	472.99645059258376	556.5489531102496	2421.9942408639254	754.6445204438951	819.9138524031152	106.0906117548109	343.63934311673756	332.65053633637183	136.13974764387132	39.51369894823879	1587.8420994768026	181.04256130174755	436.330655735332	45.59698724007343
K00003	42038.688906476586	203195.00599409692	95440.55724592447	68872.9508718964	48231.88371099875	128009.33075279772	13629.923133620905	7654.499828842657	6640.0925516599855	102798.07229327106	1173.0419319538755	28657.566183656272	5007.528191645229	14347.798386976761	1712.2504396009326
K00004	13450.029341840891	5220.41838771032	5468.017616866959	15370.748910887927	8434.439579669199	7541.719414598023	1079.2955278703237	2751.857840935969	3025.91109829416	1919.448394151003	339.99704558955915	10229.20583048425	1644.988067715265	2901.8669475009046	125.5146853572162
K00005	19645.26717081223	106583.72987670773	50081.89033371137	38352.02321624306	25612.32736843097	66841.97018565131	7245.812576687866	2513.1658419861083	3442.219393622075	53419.79951555455	794.9022894499822	16153.746767444685	2418.9269572516037	5624.988957528081	757.2204819470725
K00006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0049005959475341	0.0	0.0	0.0	0.0
K00007	37.5056264414313	221.17318998412333	72.00376949691257	31.259361126641124	29.504502854763697	74.25734090784152	30.33058255827557	658.0005802396236	50.67101129578148	327.00377497208797	0.00028640415031561193	153.0043543551544	76.75050576041671	38.25267384787819	33.670413328833625
K00008	51680.89489164043	29755.645552047874	31439.576854964147	114104.5740738148	35281.71620991577	42715.449983746425	4016.0690315138054	12100.411080145586	10136.650030237175	8880.86440307268	2224.343106591203	48656.47792537001	8113.3542209498355	19274.58084236752	2197.868026570679
K00009	9518.121383289585	50083.856994511545	22017.15729715665	14328.884051761013	12368.542250905446	33375.96962209247	3767.446810772563	1319.6727933163247	1034.9145430189103	27361.661773492993	346.3323308597454	5155.69554502394	842.2889479910526	570.310538687841	55.514134208577545
K00010	27509.9957958761	12322.654965510737	14676.676585877402	24478.135930952158	17331.65795626145	11517.28307565575	1370.4318088780274	8656.482058128317	5369.210518511215	3474.7233140541653	600.9380036675606	30449.036500607606	3499.4752167232073	10654.925569785526	831.510680202767
K00011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6222777503157988e-05	0.0	0.0	0.0	0.08139126744173283
K00012	31169.43764890351	60497.78318274296	31192.30352940387	58688.193880806924	19369.099251467764	47225.23009646927	4457.182462334508	6176.4197199803475	5938.1080310201905	32110.897390849495	1248.1154931132469	18493.846065148842	5870.1719837726305	13299.53654371145	1566.2630475556698
K00013	39191.33636009549	78745.96842892515	43247.74380353157	68268.85073570353	25179.836853248566	53918.28989743038	5510.752176398632	6604.437891353384	6425.088835512424	37568.210869347306	1596.8320633095657	27261.625636410776	6581.205826855232	12627.578998593477	1549.0409594435155
K00014	48083.88362522631	161649.18880759407	82640.7110793081	90722.12133515446	41897.16669274671	104142.50967764309	10669.429012657592	9147.515753778765	7268.8222379207855	77776.22192724768	1725.3933949890047	33238.37527988832	7435.992535403886	16130.179574239242	2009.4576823570783
