Unnamed: 0	description	S210421121688	S210421121689	S210421121690	S210421121691	S210421121692	S210421121693	S210421121698	S210421121699	S210421121700	S210421121701	S210421121702	S210421121707	S210421121708	S210421121709	S210421121710	HSD-NC	HSD-NR	Total
1CMET2-PWY	N10-formyl-tetrahydrofolate biosynthesis	35511.147496436875	88539.18800242475	49838.73219266463	68788.08011288659	24836.01389484056	59754.27571714503	5722.082468083539	5806.137063662481	5251.492309368548	39430.40309621259	1437.442613186547	22603.37438299791	6028.304152188177	10050.2595519499	1237.619192595894	320486.39153551596	294947.5867126337	615433.9782481496
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4-hydroxyphenylacetate degradation	149.93736293661556	727.7558177941294	338.4809239991357	209.2209282475385	128.46438065406804	315.6121403000012	95.26158551253894	1396.322706034916	230.5020874382897	712.883748575659	0.937663966195606	654.2328824490813	275.6445031591703	228.2732262634768	94.6625286328851	0.940165499125112	12.988676393435957	13.928841892561069
AEROBACTINSYN-PWY	aerobactin biosynthesis	64.63189813303629	136.96617419004508	139.9227320443567	62.41522180811184	79.2710194937496	151.42465661058995	26.70901432323345	26.73953760305784	61.4501721805911	78.61489374152606	12.770302293569044	64.13110146990675	68.02176304174034	53.9891384878944	17.0121881404642	571883.7975272137	564847.8480640892	1136731.6455913028
ALL-CHORISMATE-PWY	superpathway of chorismate metabolism	991.2952423380548	1482.4003953152867	1412.3210343141495	1475.6558791989737	736.6836294144398	1422.9196734786146	235.29155306825544	335.6048168851173	485.9545112283848	1243.425387544124	134.36520315429624	918.5654184416449	675.2272716793649	1004.964157080012	189.40169620160967	2.2701133806741524e-27	3.7269690799600036e-27	5.9970824606341556e-27
ANAEROFRUCAT-PWY	homolactic fermentation	33881.348446920165	59763.39189601077	44600.19036032265	60038.42960976745	21657.50151580372	52900.11211822405	3764.973761848559	6596.139049364118	5103.812844219257	15157.89864094019	1341.8042967572349	22264.79247543882	6256.7120425750645	11905.286006318693	1119.2081074227062	20.45954539081919	16.18449294139701	36.6440383322162
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	56243.63730103871	136572.08482344003	77659.12135995246	97962.01976988162	42718.14349072068	95987.1783678072	9444.376887261456	9703.73291252986	8255.66938297584	60366.189852542055	2102.344660501345	37559.83522709616	8849.236796286232	17225.159567004262	2110.5285522856134	19970.968775979723	38779.96327997425	58750.93205595397
ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	15644.43912099231	13531.979002189324	12920.080463474727	22989.081695439498	11672.927886304908	16047.768848338645	1513.444893666168	3915.5873036049065	3215.3796133107207	5848.630231209981	569.2735181427571	12537.928921251823	2699.3700020361694	3634.2974397685625	436.9795423190352	0.2103696995896241	0.0	0.2103696995896241
"ARGDEG-PWY,""superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation"",60.17071539919424,115.79368892113952,123.88876450914404,64.74556870193965,82.48529670668421,136.195410831568,26.0035721403268,29.61562790263557,57.84020455897742,219.30970161141303,11.241892426473033,82.65496047058977,103.5265614552467,50.65344849085295,13.827251366998691"																	2388.9282159109603	2317.096358445775	4706.024574356736
"ARGORNPROST-PWY,""arginine, ornithine and proline interconversion"",7827.151391367596,10561.711566903325,7818.067995683519,10981.102704156165,5417.469206113953,9886.99118512822,701.7606905025233,1461.1206466074666,2051.809448923346,2083.968042638728,223.4843307461072,5180.304307391415,1295.0145714082666,3155.573106832428,159.2217195509982"																	1644.3065571062687	2745.1888665464944	4389.495423652763
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	35971.07540179007	83287.55515524685	46417.54668769091	66727.72942330224	25770.129935977777	56367.05555136697	5617.538497233519	6638.741041839823	6252.645724076402	38751.0154172549	1325.4348719880031	26381.626478345635	5651.80606661919	11360.112724645003	1239.9959215879453	1396.688821392386	436.69915218152926	1833.3879735739151
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	35791.173570246654	85680.99378140668	47479.08549272697	67373.92275018325	26015.55683498579	57661.31270554369	5731.1408113611205	6743.506449312456	6361.802126362756	40118.40820817427	1305.885903775366	26340.188309059355	5606.950596509329	11665.04978132749	1270.108345599035	2.818531564957592e-07	0.0	2.818531564957592e-07
ARO-PWY	chorismate biosynthesis I	42775.77957794855	105965.01934028335	60795.25447017875	78220.18988836507	29955.86279705761	67466.71193223754	6682.209371006334	7422.275622746365	6910.039531222859	46257.72901586535	1644.9747307153932	28358.30399242081	7049.847550971832	14063.209711447322	1719.3993627606626	3044.925429477	4493.666897101793	7538.592326578793
ASPASN-PWY	superpathway of L-aspartate and L-asparagine biosynthesis	29770.40050014971	88323.87152949075	45894.32624725006	50634.65523789791	22550.309229137914	58571.42900486846	5745.155664370202	4819.371853000065	3878.912515079916	41220.01260012054	1282.9338280097718	19295.86380605285	5652.332785361595	10691.061145785265	1235.6435870846224	40219.46672136209	63863.0543541989	104082.521075561
AST-PWY	L-arginine degradation II (AST pathway)	139.67498403320457	414.34677072077454	368.972941040648	128.25678655759123	174.50647231294602	283.38220730499114	57.13108545179807	254.5871126232101	102.82946202816228	341.75822040686404	75.57544734987253	179.64328443707345	136.43428371821852	109.87926651545128	49.424713879575975	9007.51592319637	21444.20843999366	30451.72436319003
BIOTIN-BIOSYNTHESIS-PWY	biotin biosynthesis I	18976.687707826903	5504.026532731115	4916.726979241685	21682.07343907976	2045.3617859581384	3046.1502574395463	385.6391062458376	3899.045652950325	1127.0194389852882	3060.319578246825	889.5310647482708	5735.932366217142	3986.4085033428455	2457.544090992245	349.3621678930911	6473.384638001225	4155.9863746322	10629.371012633424
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched amino acid biosynthesis	49351.12185797765	114675.75626267596	62733.12091732849	91112.75803782592	34411.66199865299	77074.22484885898	7878.608917431246	9109.396211429328	8187.195630198832	53955.415674451	1909.431422232321	34005.50899249112	8093.043632146749	16920.805947442186	2060.5731743868214	233671.27565655034	201838.24315777165	435509.51881432196
CALVIN-PWY	Calvin-Benson-Bassham cycle	43557.02354627843	73507.98433589537	54322.253123172406	92990.14557108178	31354.99248698602	59644.320323432046	5084.459378375412	9668.876637116931	7984.93002543939	21710.70730168253	1981.201584742956	38948.3126686027	8246.493149343976	18470.63319334845	2300.3434675239	6911.173297589115	17710.92375316045	24622.097050749562
CATECHOL-ORTHO-CLEAVAGE-PWY	catechol degradation to &beta;-ketoadipate	153.25124835085057	660.2387677449128	334.27327472308644	134.53000679823617	138.94517188192566	258.6881238405739	91.77402907392316	1189.531425419065	103.40854620753666	772.2043284272455	0.3471784605048955	364.7825450420536	169.35489741373115	513.8894265649457	81.43595555523667	119728.80194130441	50167.795461528265	169896.59740283267
CENTBENZCOA-PWY	benzoyl-CoA degradation II (anaerobic)	5.370889715871171	2.8999249703602734	3.357993859269531	10.165106561488283	4.111517246241263	7.021705587366012	0.4692476334350367	0.4861568673752967	0.762078480013892	12.19017442297732	2.1357222001004943	4.379030003289852	0.246128700473131	2.577659185874699	0.3398728183201608	150234.4549502129	270344.02128273505	420578.47623294796
CENTFERM-PWY	pyruvate fermentation to butanoate	7255.994949261871	8793.0704196209	5982.814213575973	8935.345089257158	5518.6118637287045	8722.585721304342	1287.053127941668	2357.002082516536	2618.192409547428	8233.060126061002	437.36851430845456	6592.340760504925	1769.834119713167	2395.803016477571	234.2146775419272	25182.613443093487	32840.26970198094	58022.88314507443
"CHLOROPHYLL-SYN,""chlorophyllide a biosynthesis I (aerobic, light-dependent)"",47.15303377835132,24.9612391526398,46.00484473172842,102.6600727092515,32.98256080690925,55.15559149179397,21.0994457113614,56.102272036433526,44.31584705037999,95.60922051405204,4.6626631613297445,217.5460664535453,40.66950825287005,55.85546081435866,5.568117562983584"																	112.52663384775747	115.02654146461694	227.5531753123744
COA-PWY	coenzyme A biosynthesis I	40050.36854099272	86768.86385314519	49505.46212085807	70275.06210720334	27538.90700860932	61763.96632954979	5908.0809590366525	6358.838230230431	6449.596481552022	39279.45670686102	1509.7750936644895	24586.57942947276	6476.920608969444	10860.942922624496	1337.1076779259097	3.6813642183220754	6.042879245170436	9.724243463492511
