	S210421121688	S210421121689	S210421121690	S210421121691	S210421121692	S210421121693	S210421121698	S210421121699	S210421121700	S210421121701	S210421121702	S210421121707	S210421121708	S210421121709	S210421121710
1CMET2-PWY	35511.147496436875	88539.18800242475	49838.73219266463	68788.08011288659	24836.01389484056	59754.27571714503	5722.082468083539	5806.137063662481	5251.4923093685475	39430.40309621259	1437.442613186547	22603.37438299791	6028.304152188177	10050.259551949901	1237.619192595894
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	149.93736293661556	727.7558177941294	338.4809239991357	209.2209282475385	128.46438065406804	315.6121403000012	95.26158551253894	1396.3227060349159	230.5020874382897	712.883748575659	0.9376639661956059	654.2328824490813	275.6445031591703	228.2732262634768	94.6625286328851
AEROBACTINSYN-PWY	64.63189813303629	136.96617419004508	139.9227320443567	62.41522180811184	79.2710194937496	151.42465661058995	26.70901432323345	26.739537603057837	61.4501721805911	78.61489374152606	12.770302293569044	64.13110146990675	68.02176304174034	53.9891384878944	17.0121881404642
ALL-CHORISMATE-PWY	991.2952423380549	1482.4003953152867	1412.3210343141495	1475.6558791989737	736.6836294144398	1422.9196734786146	235.29155306825544	335.6048168851173	485.95451122838483	1243.425387544124	134.36520315429624	918.5654184416449	675.2272716793649	1004.964157080012	189.40169620160967
ANAEROFRUCAT-PWY	33881.348446920165	59763.39189601077	44600.19036032265	60038.42960976745	21657.50151580372	52900.11211822405	3764.973761848559	6596.139049364118	5103.812844219257	15157.89864094019	1341.8042967572349	22264.79247543882	6256.7120425750645	11905.286006318693	1119.2081074227062
ANAGLYCOLYSIS-PWY	56243.63730103871	136572.08482344003	77659.12135995246	97962.01976988162	42718.14349072068	95987.17836780721	9444.376887261455	9703.73291252986	8255.66938297584	60366.189852542055	2102.344660501345	37559.83522709616	8849.236796286232	17225.159567004262	2110.5285522856134
ARG+POLYAMINE-SYN	15644.43912099231	13531.979002189324	12920.080463474727	22989.081695439498	11672.927886304908	16047.768848338643	1513.444893666168	3915.5873036049065	3215.3796133107207	5848.630231209981	569.2735181427571	12537.928921251823	2699.3700020361694	3634.2974397685625	436.9795423190352
ARGDEG-PWY	60.17071539919424	115.79368892113953	123.88876450914404	64.74556870193965	82.48529670668421	136.195410831568	26.0035721403268	29.61562790263557	57.84020455897742	219.30970161141303	11.241892426473031	82.65496047058977	103.5265614552467	50.653448490852945	13.827251366998691
ARGORNPROST-PWY	7827.151391367596	10561.711566903325	7818.067995683519	10981.102704156163	5417.469206113953	9886.99118512822	701.7606905025233	1461.1206466074666	2051.809448923346	2083.968042638728	223.48433074610722	5180.304307391415	1295.0145714082666	3155.5731068324276	159.2217195509982
ARGSYN-PWY	35971.07540179007	83287.55515524685	46417.54668769091	66727.72942330224	25770.129935977777	56367.05555136697	5617.538497233519	6638.741041839823	6252.645724076402	38751.0154172549	1325.4348719880031	26381.626478345635	5651.80606661919	11360.112724645003	1239.9959215879453
ARGSYNBSUB-PWY	35791.173570246654	85680.99378140668	47479.08549272697	67373.92275018325	26015.55683498579	57661.31270554369	5731.1408113611205	6743.506449312456	6361.802126362756	40118.40820817427	1305.885903775366	26340.188309059355	5606.950596509329	11665.04978132749	1270.108345599035
ARO-PWY	42775.77957794855	105965.01934028335	60795.25447017875	78220.18988836507	29955.86279705761	67466.71193223754	6682.209371006334	7422.275622746365	6910.039531222859	46257.72901586535	1644.9747307153932	28358.303992420806	7049.847550971832	14063.209711447322	1719.3993627606626
