	S210421121673	S210421121674	S210421121675	S210421121676	S210421121688	S210421121689	S210421121690	S210421121698	S210421121699	S210421121700	S210421121701	S210421121702
K00001	77361.61436463238	205804.5083351281	76133.37849536643	158787.44487038333	26551.510916616284	8534.377483678043	8661.368741004062	1121.4180170876814	5702.151251203626	2752.8699860927695	4327.875079190226	1094.0357772421148
K00002	1473.857205186117	133.08781339290857	186.0411741217775	168.9300299469433	1264.9844065282182	472.9974549928758	556.5501558924484	106.08897657814069	343.63892637776416	332.65057349254636	136.13822723644	39.515851592896425
K00003	49068.11766603068	46879.53463047342	18759.724274003805	50840.21305206319	42024.71565169891	203007.0431390187	95378.58675085717	13629.913958247902	7654.497061035942	6640.092128768787	102728.07175776159	1173.049827492536
K00004	2931.5269243347157	1633.1169270873368	247.01557279069803	3137.4442345640664	13450.014862417747	5220.417041016933	5468.01447939199	1079.2772761849105	2751.8551856276727	3025.8980992788065	1919.431804760241	339.99670805615267
K00005	24417.33828309046	11481.229650060395	5428.9620396415585	11753.58373093505	19633.59486026501	106427.0880125096	50030.22885338118	7245.804979384904	2513.1634707375692	3442.2149571340587	53361.462796476764	794.9089174152391
K00006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0049005959475341
K00007	9.33057638092102	38.251112566203155	19.421225979265486	157.11231773532273	37.50562643817417	221.17318998228288	72.00376949456125	30.330582557922977	658.0005802392584	50.67101129521055	327.00377496948533	0.0002864041503154598
K00008	86192.97339610652	100884.87987722596	36576.16445170544	68766.13398498623	51680.88535399892	29755.616128532864	31439.59609818607	4016.0050888800483	12100.390890255729	10136.63590929126	8880.807438063432	2224.3489845489626
K00009	3791.677799117276	19554.98351738651	3223.364993246037	10411.410109061972	9518.117710723363	50083.86102773204	22017.17311708671	3767.438845419065	1319.671669369192	1034.9175806766227	27361.658649145906	346.3319525312172
K00010	40357.29409870207	51465.45157268905	17799.50850664999	50401.585505752606	27510.0038495854	12322.656759315912	14676.687653540559	1370.4165719878201	8656.47377027884	5369.207998362299	3474.7106181341724	600.9372131118992
K00011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.622277750315735e-05
K00012	164612.78779955482	423690.9203904588	146050.3660457877	259252.9693965033	31169.447252164144	60497.80643715913	31192.31417752167	4457.177038607934	6176.417918817011	5938.113122139515	32110.893831946065	1248.122620779145
K00013	107540.75843610399	193126.9266954539	75274.03460436725	145066.2274198069	39191.35733654675	78745.99470751618	43247.768117011874	5510.742614089095	6604.435322867454	6425.0891568951865	37568.20329139841	1596.8408611816453
K00014	139477.60365535438	201924.70188497298	94486.17783806982	188876.2644049747	48083.90972932386	161649.24304630465	82640.74684285936	10669.419620162958	9147.518959695612	7268.821084651054	77776.21714716314	1725.4029143940782
K00015	1412.5970474133137	599.6099410686993	124.59405344042906	5801.55880999295	372.3113478581454	484.8644234825979	255.67927513483548	70.07308025753056	777.7497489728433	135.47083046162572	639.1558130397552	62.911377362080714
K00016	40868.01148443622	68680.04031862173	9982.337483268799	43644.45610340704	31540.32824449122	138826.52787512843	68859.51897589196	10019.10044148855	5825.782271701973	5758.739981376217	70169.35954888356	937.9194487965487
K00018	90290.45300523672	137085.39370445276	64013.33821139254	142851.312352409	26831.40323110205	79396.14810814105	42869.64138201641	4688.195613711926	4639.35623714841	4564.29120497923	35477.68370289994	1194.0060743778963
K00019	1594.8503682068563	1604.03471016549	92.83712423478255	4665.339800714155	1731.331095898066	1618.7900138256464	1018.074497965625	143.98337321395337	1324.88327570275	221.17949335794248	949.6133516141946	112.3200661320212
K00020	14483.916136152395	19903.903573362288	13570.900840049999	24031.045538947918	14985.153105729672	64584.75024160103	27839.468848771154	4721.088768292067	4716.974020804284	2154.826288164637	36549.538160905424	302.6876706777671
K00021	0.35928557204132205	0.5734835818016897	0.08554024611771804	0.36150048517159417	30.10296025344502	1.0176877801501323	1.8880407440225468	0.3816038758671561	2.4693332451624297	0.9838087793397512	3.234807645605126	0.8584685629678723
K00022	0.011776977120252025	0.06658028962986925	0.013885760905207715	0.09497914192536147	0.4429863625086453	0.22167926262334556	0.2688870798391062	0.03956308570557392	0.040973803820513195	0.06406171725518908	0.2920312454898858	0.0
K00023	1435.09186520393	379.4907126543293	150.68424933041305	5964.449909278236	202.5571893952839	653.1409691730556	502.7648912135543	66.88974731580227	1212.4240789713863	127.0965711971781	791.3606700683772	164.35418787202354
K00024	139269.18720576572	345234.72861076094	137195.86391996092	267927.093229609	23574.403532879995	4440.139376868967	3857.035273435562	227.21093126369846	2995.0024123611042	727.2427847773087	1923.085674937502	1122.7566702006484
K00027	54280.24382450651	28833.841481360887	13409.3873788148	39183.478350086254	28940.679322262233	89489.70033093965	51005.765539886466	5965.483617444977	5631.780732209115	6016.871221773283	38287.785858627736	1124.8475140909882
K00028	2.625946409547667e-12	1.4845598383607624e-11	3.0961479860704977e-12	2.1177772035569876e-11	9.877394141386057e-11	4.9428461804168785e-11	5.995452437986456e-11	8.821494836779919e-12	9.136046706158889e-12	1.4284025068405812e-11	6.511504546028091e-11	0.0
