Unnamed: 0	description	S210421121673	S210421121674	S210421121675	S210421121676	S210421121688	S210421121689	S210421121690	S210421121698	S210421121699	S210421121700	S210421121701	S210421121702
1CMET2-PWY	N10-formyl-tetrahydrofolate biosynthesis	118450.69286500163	221303.3316529489	95363.73516473809	195172.7676966947	35501.60867304952	88420.0989839669	49798.61097702912	5722.076875537856	5806.136720786934	5251.488537546316	39386.85520443019	1437.4510185468982
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4-hydroxyphenylacetate degradation	35.973937141296915	140.97651648002747	29.105157953608224	85.80021218413944	149.937433884833	727.7904772206113	338.486950684444	95.26158179910156	1396.3226565295254	230.50206480870423	713.0681194830439	0.9376639209732222
AEROBACTINSYN-PWY	aerobactin biosynthesis	114.55596467680228	81.2260566610644	280.57206195153225	22.42649314186117	64.63189823685693	136.96617424478467	139.92273210689655	26.709014338168146	26.739537603665152	61.45017220429974	78.6148937540702	12.770302293569044
ALL-CHORISMATE-PWY	superpathway of chorismate metabolism	2636.809029550756	1303.9736194524	3129.8023631006927	543.3688172648491	991.28461719029	1479.0801719798517	1410.5110913176843	235.2914985863948	335.6048241740354	485.9544217748812	1235.02985807777	134.3654525503904
ANAEROFRUCAT-PWY	homolactic fermentation	104088.4818511077	187706.28420061283	42971.82906662043	134015.42538195066	33848.4394123019	59194.8715616919	44447.27072773817	3764.9685254261535	6596.138061494179	5103.820146240408	14855.620891971932	1341.811114685769
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	159511.44078140543	279462.92653375585	119377.24748508527	234693.12773336784	56228.59253459239	136335.1612136	77586.71976889925	9444.353280613865	9703.728619079273	8255.66899562104	60269.39390645974	2102.357417124209
ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	17242.98032674969	17627.631521070653	4967.408131774791	33483.73764432498	15643.568124016483	13530.356131228264	12918.527583528776	1513.4318828984676	3915.587243238466	3215.382678703932	5848.077996947088	569.2799754040147
ARGDEG-PWY	superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	96.2772417187813	74.18932275151936	263.317466675742	20.271247376111173	60.17070070212294	115.79449880278192	123.88942263987936	26.003572155447102	29.61562947267902	57.84020470677551	219.3267871911681	11.24189331149895
ARGORNPROST-PWY	arginine, ornithine and proline interconversion	15468.200460585876	7561.902236554586	1777.3778452509823	4425.941727804254	7807.165687195025	10166.289702341424	7692.541513448374	701.758423207833	1461.1207199315145	2051.806190113001	1910.9215553644217	223.485469129712
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	82214.73173079993	95978.5866547384	56111.07621964185	71784.1225515102	35961.79515484972	83162.90575689777	46377.26742341378	5617.529117106681	6638.738990943179	6252.646302931405	38703.40004742275	1325.4443848382173
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	74286.58523136987	66978.38913012773	41078.188010236976	56033.57268776805	35783.40446032034	85568.84864543032	47443.63264722676	5731.133091031761	6743.504684454765	6361.802968185859	40074.42444656365	1305.8958723093715
