	S210421121673	S210421121674	S210421121675	S210421121676	S210421121677	S210421121678	S210421121679	S210421121680	S210421121681
K00001	77361.6229351443	205804.5085321645	76133.41022459937	158787.49047071606	77948.05029230162	30068.346585660853	86070.89296589515	55572.99212192399	54718.84071436916
K00002	1473.85749703605	133.08614092306408	186.0412003695681	168.93055949092286	100.61080004871401	30.944117029236313	41.68847896426953	225.2271175463354	26.174772571004432
K00003	49068.11585911033	46879.525406052766	18759.72470863688	50840.203720014135	16470.150936042577	9917.712828329291	20781.99107730524	40933.62466316551	10114.646954171094
K00004	2931.533921489278	1633.0987670161019	247.01541649839947	3137.4376594024693	174.8313075335285	639.2216553670386	356.9699613534948	3449.3077043820967	720.3730758958754
K00005	24417.30858183578	11481.221113133375	5428.955108009835	11753.564171522434	3918.2176046441136	3294.9841398563703	3453.0086130955233	27041.17443277968	3611.899976783973
K00007	9.330576380941078	38.25111256629552	19.421225979275988	157.11231773546083	5.091338546965293	0.0002449211854219675	6.250170695030708	24.50252618495536	5.001611386296401
K00008	86193.01535280052	100884.83863633372	36576.17956477704	68766.14727605664	33960.889794784016	8554.737066862459	47690.75533568371	74933.61656717729	15055.841699215734
K00009	3791.6767976226747	19554.97525837848	3223.365089447479	10411.409713530813	2736.7930380614143	4041.0285401245483	4758.587972092198	18294.832488015305	3639.8606626895053
K00010	40357.30792770311	51465.437216068494	17799.508897194817	50401.557341273634	18345.142116622257	2110.571312436881	14877.522628709197	14195.747404389294	3144.705061384985
K00012	164612.78348299564	423690.91275893594	146050.37676763855	259252.9719418215	152302.3609082085	46224.95592249073	193881.66118679437	75512.28312595899	99077.74182476939
K00013	107540.74811285533	193126.91708877636	75274.0433684831	145066.22696374828	76492.86522339119	22045.658285057994	96202.12017427795	58753.78421090997	50740.041868159264
K00014	139477.58524759667	201924.69240976468	94486.18715787318	188876.26198078727	95042.26802063086	25255.9324462624	110901.40067229923	77816.74834832585	56916.803331553914
K00015	1412.6015608685288	599.6104867786341	124.59393936018259	5801.559438108668	98.47190307190286	50.71030172696611	102.57371779375092	683.0028324146215	78.19738637408526
K00016	40867.98917461345	68680.02590283635	9982.33517193521	43644.43755209764	9487.260894468955	16415.88440054832	15012.67039518318	54869.465837947515	13866.099011820832
K00018	90290.43152697204	137085.37362706065	64013.32889618655	142851.2744709506	65366.40255881383	20577.40901734145	85532.48551875912	48185.6674841075	47446.71608797671
K00019	1594.8566801322988	1604.0353126140967	92.83737537886273	4665.340877384259	65.76273540356652	116.9493578076166	350.79897074597454	1434.2703048969813	160.1430873193624
K00020	14483.921018959594	19903.904144767737	13570.900845528002	24031.043058878728	12430.43874886963	2971.7697616636974	2074.3283034179444	8261.363495228663	2165.811483545001
K00021	0.3592856174231391	0.5734833334042757	0.08554027813503187	0.36150052748303396	0.023315585023885792	0.22406438317700006	0.1792060435669128	2.5837328706268488	1.1671681050882858
K00022	0.011776978614873836	0.06658029635273709	0.013885761587814668	0.09497915203752884	0.006121509739923727	0.013653737773821645	0.006121509739923727	0.17616344696002725	0.1205786270376334
K00023	1435.0918657200127	379.4907107143493	150.68414272807644	5964.449976417597	128.48098454211026	5.714404278553392	200.00904581488038	2037.1139006454027	53.37089988182553
K00024	139269.1871687379	345234.728152417	137195.88391845452	267927.1131732572	143047.76561402652	37115.61418253026	163732.76655787832	59161.34896870517	91601.05841619281
K00027	54280.22980968523	28833.830591464695	13409.388204478473	39183.46364032607	12196.135459023837	10866.548043409175	21611.48764606216	48006.149047815634	12098.627764975688
K00028	2.6259467787212993e-12	1.484560008565938e-11	3.0961481806176025e-12	2.117777457994489e-11	1.36493062508936e-12	3.04441316377956e-12	1.36493062508936e-12	3.927967021090491e-11	2.6885763115186096e-11
K00029	86735.45145823556	205142.7579084844	102933.89091049464	188352.4607882621	105518.43531012254	22662.788660410344	94761.0465473759	36986.31455480072	54894.888379392665
K00030	3460.464963483892	5126.022555886595	734.8165075885789	6149.335476067987	490.78893970955033	456.03212816540497	330.378851418306	3001.9065939611205	512.3883290722795
K00031	68934.38570528178	139036.18282345004	43007.93925925196	54570.87039273296	43431.653781401175	13963.189218240948	70425.2582765349	29770.20041764761	32312.790379088518
K00032	7.100000000011155	17.210000000063065	1.3700003467240423	8.996343824669455e-11	5.798241526167397e-12	1.2932703321739626e-11	18.0300000000058	4.10000000016686	6.010000000114211
K00033	60894.662385181524	172300.36861663824	46641.00612847673	96099.66540014815	49837.00117109239	22587.45315350525	73325.04646402273	41610.19742011203	43301.11802560616
K00034	5329.843704637677	943.1732661411652	1042.1453376380418	3788.9690335884147	696.2314052777742	639.7225631057811	495.5564571795022	6863.555641747834	572.3331435220593
K00035	0.0	11.412080995230122	0.0	0.0	1.8	0.0	3.4	0.0	0.0
K00036	58646.39859289931	174140.0723808483	47134.658686231785	97695.02057548013	50320.329786925024	23113.060210906468	76216.37809134599	37118.22384318795	45218.392815727566
K00038	3.519589395315724	152.07424175310885	2.0946023729286245	8.641232215176903	1.0142901283992107	0.01048860796025908	40.78486203104627	222.02339161236117	83.4406724525669
K00039	0.00043298424413437046	2.6003018834463165	0.0010569060007995735	8.470065912663367e-05	1.8012640113559732	7.867303623845218e-05	3.400096159421388	0.0003812157538082701	0.00014321883133272897
K00040	23783.205288490117	6482.463404839576	6132.61071948327	6979.459732672504	6023.070893371282	1558.086834616428	5872.7170459895	6963.847923423646	2950.979720474731
K00041	59674.15522311291	84341.68539518403	44179.72715986078	78188.75213838811	46551.60640730811	6132.948240945435	32726.554308557206	17031.875637818626	13070.492138591002
K00042	21198.386516084563	19459.649794002093	3605.9086150356147	10326.870254358631	3530.0214331148427	2340.968571069203	2696.357802013007	9148.043196792856	1934.2569723062056
K00045	3396.5375704138833	34589.101432363605	1.4166753391828177	5453.738681463455	1.8044334332554788	594.5834012961678	3028.284399957984	771.2782826546255	879.0517918778187
K00046	91275.00592767753	156300.93903112426	49802.33785706428	93276.39958537003	51737.357850738204	15895.853589449245	74219.9406430596	29868.233016798316	36751.822484249715
K00048	56427.75858955715	161007.81361577634	35650.985417984666	86416.68657344145	37314.883529795254	16880.413055456498	65114.407261270666	25796.464210422055	34659.22499609374
K00049	2.1355488823837312e-05	0.00015632752451094344	2.4460687019812086e-05	0.0001660366016491753	1.0697211960718909e-05	2.4163393079671496e-05	1.0956106838225981e-05	0.00031155535549870744	0.00021126365082076688
K00050	10377.656089089593	15598.791882205654	2529.54670606445	11947.193298549637	2347.4793060202524	754.6542815462644	2662.2331135702198	6667.318566164797	751.014549248006
K00051	0.00018119587205598573	0.0010243777503462347	0.00021364076155219806	0.0014613111599644756	9.418309499380648e-05	0.00021007093615902514	9.418309499380648e-05	0.0027103801781550975	0.001855174420526151
K00052	112764.07978412742	196494.93198831804	78569.42526564666	156235.9457217552	79477.89912336956	21680.464836866282	96507.23887463933	62984.44554943076	50836.72431943333
K00053	109084.55234279149	194255.87316449417	81906.80324719456	156985.04259485338	83384.71624740364	22097.75986367226	98835.57654056177	58448.1996075044	52324.83866150189
K00054	2619.6348069569704	14145.482753611519	1355.081844418645	9278.875995345596	1472.808860361268	7285.89743161029	3144.2712132274155	14516.567887234509	5033.624016653156
K00055	707.5458103202027	8268.015403859097	651.8894265708308	4380.698516049113	769.3894321672268	2384.4982523539543	1787.1590466503355	7901.622190393609	1900.096025391932
K00057	119614.96468833393	200744.72896875362	94042.37840980689	191731.28364611336	95030.85665511753	31243.211048288867	105661.21775709357	75735.06808436262	60290.12875629797
K00058	195603.98295910022	203797.33030002005	99684.12510283879	199353.95739536991	99279.61495522305	28096.284104645863	111066.45695586588	115785.24594583975	58840.72764040382
K00059	254745.0856366514	391344.3129221047	166327.08001818857	333298.6572423462	166491.1584546686	62108.733168997256	195036.35145351494	171658.81598540564	109737.06944081592
K00060	26566.857806666925	40859.82940241994	13249.980302915463	17369.27066623693	11864.723523890229	1549.1546423956156	10617.861570375524	12525.789995044488	2234.847899964934
K00064	212.72781696656966	199.77273157849712	300.68594370076323	190.15855137466713	345.06480305780497	23.78257191491004	35.42074919217875	127.04289297047342	48.7396205578878
K00065	14186.623684713231	6462.577935593118	1651.7399657140863	8432.365677389434	1466.3290184939287	1670.1371530188858	1992.0896123576165	11345.609505259632	1632.9053535161302
K00066	2128.777201479256	22012.992707264166	1.7533066252203162	3500.8727013564494	0.05286525887122567	371.6971134834138	1900.2334722668784	2005.845914283882	546.616293806276
K00067	177192.42841477232	401963.44686563406	126533.05939232552	244977.50115981675	130713.42716783067	41412.205250690015	192249.0378903018	67571.08526076729	99204.09775604554
K00068	1179.6479183865492	4157.036541766696	1813.5314289107341	1901.308102864362	1507.9719466865968	867.0488357248346	1506.3928013500376	7446.644890011941	956.7951767292735
K00069	0.014943787745042292	0.7704334165672232	11.91456119153871	0.0012062018283235587	11.22363057339144	0.005854044507770158	0.00498916260746255	22.289769290931716	0.010697351230058808
K00073	1093.4775010918238	699.0439734695256	471.1981335782445	230.86460984776068	511.1890508623692	109.91594645249558	197.8240630753251	708.3153936009722	371.8341927649594
K00074	49815.11842425945	10612.037773137115	7947.247578214869	28247.548571111976	5863.0497934291625	4847.0479492030645	20115.37301160842	47441.05858542792	5470.308186650081
K00075	117796.76832456412	210953.0920764341	82854.68812341953	192007.10412690934	85406.50185435904	31014.745825984734	105412.88081388036	74079.9115027684	60065.65693772718
K00076	10830.921997282017	546.1851601686827	923.3427117787317	2620.3814466368112	875.9255023353578	629.8390069122761	7489.135609565206	9490.047570026432	1378.2308749637407
K00077	76214.03027205332	198920.92842331462	51770.08600118266	59674.55130135263	52729.065726969486	16331.740830970848	76170.14716106406	32828.88280173561	34594.582052169186
K00078	3.849162889277083	64.51063246696947	2.607155639429757	0.8461519383359558	3.6434780742523216	0.2766907387548166	39.346777368793035	10.734775579253146	0.5056090727446435
K00081	0.000282942866584145	0.0002742626150362671	0.00020485826492298208	0.00041024584649145815	3.099805369944786e-05	0.0010126104710448543	0.00030401707040674083	0.005410293862305701	0.004298388084499727
K00082	6665.194571652239	9689.142231692756	1.7171827713827206	12078.820003851177	0.22136961064593141	151.79074084179962	2606.4615766534143	872.4856949162653	154.6877237885905
K00086	1527.5253666206959	1129.7783796703438	186.10276470829905	2209.749696111392	242.71556540966571	634.0240586552743	264.111114296859	2474.513505745014	534.1137329874116
K00087	42699.89342520313	15406.274388834712	1909.8613449376521	3913.1252269186443	1603.1789957277776	666.5713054677174	2228.245214273201	10237.477800086228	640.7934541173535
K00088	130293.51659145583	304699.6859742903	99891.72319726263	202423.071379376	101509.93763670929	39317.40202822319	147632.36673309072	81050.55424167856	81758.25689294792
K00090	257.0599849367184	161.80449344070428	359.893634471792	50.287504856154534	408.3058666915686	29.041323315192823	62.96564529706224	214.915253352626	65.5604915806213
K00091	894.957711116401	2937.725725299794	487.3781350773827	2236.619361998184	510.533657053611	781.7566016776548	331.84186230449086	2803.1415200576994	1340.4624308997954
K00093	0.00010817308065179264	0.0006115486834703783	0.0001275425265910902	0.0008723958673592751	5.6226863312054785e-05	0.00012541135767544728	5.6226863312054785e-05	0.0016180841775357987	0.0011075303754862148
K00094	260.0660650418904	176.33793817512844	615.3163171579874	53.98473888865673	735.5515119948111	46.09301846898058	59.503682245231595	230.07998773194376	84.72757618933653
K00096	19264.150293747087	28042.675133957222	3505.7174315949896	18743.144416926807	2793.761198825663	964.2960889819545	7322.9117689449195	9034.95591591571	1574.6860563726775
K00097	118302.93744089929	255571.20539924345	96770.40707442664	186123.89443154275	98660.56200789855	31907.907442416647	135361.83699603405	45113.536949581554	78641.32989344391
K00098	1257.825918115841	232.29286751304608	317.46737024931883	490.6732771220787	371.8229177463616	93.17805541402254	81.18737760278202	506.4682622818421	117.03198475388092
K00099	119852.59757053346	196352.00996580737	92375.31176254177	183350.74050237847	93393.10685151609	23663.820339921847	101350.16296466003	61686.74768023498	54566.29424771243
K00100	140733.91143823607	254451.12494120857	101761.04921032421	202477.13386333984	104543.68802078287	34498.5676000626	101395.92506646259	79745.6305072691	64636.750662299135
K00101	163.70846313392082	368.4302521123633	367.0303495249137	3246.3447591624713	432.427732355253	25.361279050764082	139.0951561261316	910.8970436104385	59.7819532506601
K00102	170.03130314759017	437.19443215812635	28.95434059347517	5653.682916730794	29.835866503517657	16.897374316531394	50.70067413287669	288.82875334455287	33.47605375733283
K00103	0.0021461195408421356	191.5846382699229	0.17408743075436525	26.79672410277593	0.00045914670269732514	0.006359357879103198	0.00200304772154069	746.9387635058246	0.029898291424908824
K00104	12458.54043864248	9564.131030983563	13985.383848757801	11988.858823793336	12341.300038442077	838.294562999916	1969.5520483621162	13627.705932681241	1236.2949137315845
K00105	8.004266718023947e-09	211.0142731941132	88.68563242712844	134.73185320569152	58.000000004160505	2069.5956218205774	573.6743814318249	2534.248525704862	1254.1840078111484
K00106	0.06194305556594929	0.0600427379843546	0.04484844251584788	0.08981276528264391	0.0067862257349758925	0.22168499044290219	0.06655670988475498	1.1844445395878234	0.9410213983359061
K00108	598.575223001913	732.4235453826026	537.4137765647564	6195.851112266464	502.7176984342896	40.19769473280755	237.2704141026654	1253.0877662927337	159.1327934855084
K00109	0.011776978614873836	0.06658029635273709	0.013885761587814668	0.09497915203752884	0.006121509739923727	0.013653737773821645	0.006121509739923727	0.17616344696002725	0.1205786270376334
K00111	79881.65052998628	80807.67947397026	40402.45463529225	106091.01383735437	41283.42125885961	16840.662973701248	43100.108914476674	67486.37450116788	28957.397914097055
K00112	23167.39194665274	19202.296529328614	26328.156669959106	52539.14065450197	27695.026662827528	6301.248677964628	19482.054202012725	17408.17538299001	15161.349917423711
K00113	23512.347827171725	19236.146927890746	26690.895396142976	55187.6376329702	28096.676626887565	6385.977861103878	19811.625335418015	17501.319341675142	15356.269665662745
K00114	9.413102691732622	38.58935268619025	10.386999770433071	11.574883425150325	0.02147147551323148	0.047891109992475145	6.3776057062981995	25.194045948423454	5.458313128550062
K00116	159.7015263180159	139.6932339248088	358.011479182184	31.106306086008445	414.7720380422906	46.90624155919028	173.3618933213313	234.6066561851928	329.27824604591603
K00117	145.16045742117717	128.56764556139217	360.86549749568445	27.184599686325924	417.1704502316909	25.562325093894394	52.21083840290939	143.95777369926407	53.763060828095455
K00118	0.017691493621720702	7.727148745833984	0.01280911843085427	0.025651333303299453	0.0019382070872828881	0.06331522651923809	0.019009194778181675	0.33828801026920696	0.2687641724234554
K00121	1438.711033739814	1461.2596580153484	1009.8859798381973	6407.592897014537	1015.2479876494964	387.48607353838423	520.1411655475026	3186.7734940367945	556.3255736853569
K00122	9.3493694012898	38.35950350839877	10.353336643382455	5559.574188681528	0.010067945540160331	0.02724680118690153	6.26026330288164	24.790141572037072	5.213329756593471
K00123	11865.935694522894	47530.82577912737	4550.707573305759	21382.041286843625	5045.164771931368	914.7959078566098	3995.0945179391047	7032.14955581687	1637.258844351015
K00124	1019.8105864403656	30032.255775482598	2717.1046121556296	8869.309456717298	3136.0109890390604	160.51086689792967	1838.4852760729073	562.1210894596577	545.5820243251287
K00125	0.18042335080064958	1.0200103573330463	0.21272991282572004	1.4550809190714398	0.09378154918621999	0.20917530723840014	0.09378154918621999	2.698824582136775	1.847264959587827
K00126	9.33	40.85	10.330017700698294	12.75	9.8	0.0	27.64	24.5	5.0
K00127	785.2895956264132	44868.34850472272	3845.080732493831	11750.091618493472	4454.625521398118	214.94604217357488	2519.0842584406837	463.43033543263357	702.7727746105837
K00128	34286.569254888804	29747.614754999737	19667.412922232423	62100.97450912565	19788.568286744943	6127.231932772953	26803.385165243868	37766.22088966708	14200.65015185692
K00129	0.03907995817678074	0.038866236987151796	0.03573376046836762	0.059344431729494426	0.004367721361954536	0.13935247901938336	0.041874051672313936	0.7463920391457525	0.5926498902411441
K00130	691.5217140813364	1815.4259912808968	477.1701919166534	7589.121905617729	489.95259231617484	437.2284766918133	223.57006447936982	5541.245739488003	624.0442897379764
K00131	5357.0739684809305	1026.599423425678	600.9003041797139	644.6084011065388	348.67912830625124	215.24582381462739	240.37975970398628	1237.6063354960193	222.01526488615715
K00132	8723.450279560364	2350.4904636637234	107.18648062699242	287.38246678739966	82.20012411333094	11.59585943353348	67.18983618484059	969.7944832488184	39.25105463181133
