	S210421121673	S210421121674	S210421121675	S210421121676	S210421121682	S210421121683	S210421121684	S210421121694	S210421121695	S210421121696	S210421121697
EC:1.1.1.1	136385.92191479163	255361.0843824873	85994.83378822418	200033.14107785028	65463.24672546304	78310.81510804317	144109.17560559872	41090.211457953075	130831.50044107206	41871.63506078355	25286.74058896611
EC:1.1.1.10	0.008439985324795835	0.435127075737953	0.002129056148620247	3.740145263416734	0.05262134660615671	0.037796748663665676	0.03195442634036897	4.492303599055727	0.005361960181724711	0.028397885344349207	0.0021258189227665618
EC:1.1.1.100	255136.2462500576	392772.6977622565	167122.09817085913	334387.1126556244	134902.8464544958	148272.8707889759	227578.5560124453	68459.34104934798	192173.93920435704	76241.04045035332	37580.776866625325
EC:1.1.1.101	1.9512052451751026e-29	1.1030996276792414e-28	2.3005867286499188e-29	1.57361074911363e-28	3.512169441315184e-29	1.5577506850886771e-28	3.745896700630277e-29	4.721298270831804e-28	1.0159241757685241e-28	9.528526363896387e-29	1.3570974801574096e-28
EC:1.1.1.102	0.10780851242191623	0.28409732501554474	0.09550296708979338	2862.199097328407	0.21729079909461518	0.7320750072324865	0.10171646874565482	7.553345903355282	0.7858251974553795	0.5890590726722104	0.5676281532681045
EC:1.1.1.103	26566.96809769854	40859.8324907383	13249.985057325766	17369.29666530634	11249.696544216808	6321.016800374487	7762.074026333893	4904.13718179661	10491.601209713164	6594.188280574818	3401.4540814421466
EC:1.1.1.105	0.0	0.0	0.0	0.0	0.0	7.744959133899923e-12	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.107	100.22037608376748	10.605269583747148	3.8045498851040036	450.24580617131085	57.32846515481745	347.4481306721155	303.6341284710896	729.5265263956314	262.1408361614757	292.9148116820305	115.12962364466057
EC:1.1.1.108	1741.7884316868758	302.1223481257693	435.4330498197948	4097.510035068433	1216.2257886985542	647.6713781391992	312.5870491826039	343.33910490881993	1897.4323294191158	620.4588534245154	207.58294966111384
EC:1.1.1.11	9.330576381021512	38.251112566649056	19.421225979307557	157.11231773599573	4.00028903716045	13.331311545404583	14.25034385534981	383.2537332990573	61.000966468021154	171.50092683416085	76.00122997831518
EC:1.1.1.122	212.72821426731304	199.775650016766	300.68598339186764	190.15931706166526	202.15430742449158	1009.4471765581607	456.8791006664874	1774.2381764343768	544.989914082206	1032.016434559756	725.9297235761604
EC:1.1.1.125	14186.633210584316	6462.598493929474	1651.7416974421824	8432.372682812744	9439.545672867858	13050.050809319719	7344.136163046975	15642.274858927647	16026.437421029364	8744.245405620943	6097.128895031659
EC:1.1.1.130	10680.765993700232	3340.426850472287	967.4677760380475	1592.9771740841181	2292.0411670778635	1756.7602478715412	1147.5442016161771	2269.7898802941427	2763.499390570122	973.093659859584	709.2826629154695
EC:1.1.1.132	2128.7772145028443	22012.9927191928	1.7533066928995251	3500.87270231454	274.90202315517513	58.080735731010684	1230.2516300916132	234.46317682575506	356.9254040167881	48.629685760231446	309.56185041036963
EC:1.1.1.133	178521.44101901236	406819.7851802351	129236.05908845489	248677.83476846773	48057.51795786079	40106.92011020161	123510.30618467234	17627.811638829615	67450.72229240366	30552.781085798943	13099.939955217147
EC:1.1.1.136	5758.550358990233	663.5136634228903	536.6535545741517	2355.4906128573166	2543.569545919587	3726.9661607946573	1782.2297974677385	2486.649808522451	3876.6306878028845	1953.9388397407447	2092.688102945442
EC:1.1.1.137	568.2667435786874	475.93326539413874	385.44518634656714	1459.6396802443528	3176.9534222168495	3403.144394645849	1111.9815753470357	1136.8649156711017	6431.753275771211	610.2514059873679	1341.4842158140693
EC:1.1.1.14	86193.22507199232	100884.90216881249	36576.209382698675	68766.27387573839	58218.30665819195	59292.265840833934	46280.525917952225	52732.479255009384	64152.56519253836	44468.01474770239	27765.18181977687
EC:1.1.1.140	1179.6492172591823	4157.050031108925	1813.5350057873775	1901.3104837650435	2481.576976621592	10234.22308918621	3694.3207492772094	9384.354288296183	7196.0600205298115	5853.32630739356	4857.189508555308
EC:1.1.1.141	0.014943787900324901	0.7704334165621411	11.914561191438718	0.0012062015316968372	31.24447188283913	0.06691994263473418	0.05657831753618542	57.42964152782879	3.6743527770941022	14.022555768188338	4.584837615155638
EC:1.1.1.144	0.03163569685275906	0.17885010050042321	0.03730036320424039	0.2551591730631349	0.05694622700731481	0.25257452953020737	0.0607337709633182	0.7654847905500399	0.16489169572802226	0.15461682690727424	0.22007518308634155
EC:1.1.1.145	0.0	0.0	0.0	0.0	0.0	1.1396211628052149e-13	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.157	50206.061625723785	12040.379031255641	8742.265313253192	29336.002402644473	40811.53213960502	39019.658435388774	27487.724605895386	17781.05549750094	56608.29464368975	17288.52423462779	10040.307418191407
EC:1.1.1.159	10830.934498679328	546.1849441328667	923.342220607145	2620.3813833906506	8618.974054188124	4197.123656274025	2735.7851968775913	1211.8208508503253	5412.003269820691	1697.834683704639	937.9536183861604
EC:1.1.1.163	0.05360945149573898	2.6118392763488205	40.10580133966571	0.7375323041776126	105.22845272257501	0.6041080695662437	0.19678875997882891	193.4126191105446	17.791234623637955	51.085377997160755	16.777845699709193
EC:1.1.1.169	77933.62387132556	205204.8838968346	55267.69015973898	64462.68572290418	26585.824829230223	30802.859145728136	39182.16363235153	13892.827886416126	65048.83996886469	16440.93436496678	11571.442549715506
EC:1.1.1.17	3791.673562086624	19554.983425443326	3223.3702077724643	10411.410008035773	5005.21241339613	16398.953378915987	17704.664768032264	7853.209792558975	15592.047268247112	4847.516107762787	4629.873274166144
EC:1.1.1.173	0.6141223773862625	8.78199605064742	0.1388341293430605	0.16630501160202027	0.03711790733605406	0.16652752512863872	0.473429127675449	17.57508725775358	0.563777501747983	0.64906277627486	1.7425329760567412
EC:1.1.1.178	0.47114997391377766	2.6636119500526036	0.5555137676418656	3.7997369329990307	0.8480699530447997	3.7629154581182918	0.90450716917137	11.400336087872418	2.4531127624595985	2.3008163589595307	3.2769307275885096
EC:1.1.1.179	3.849146317796398	64.51026735419221	2.6071403473644503	0.8461450854194391	66.50180345654267	5.104658003776565	26.249501437441612	36.942973869746844	32.767600712152074	9.234339232825047	6.181724764093179
EC:1.1.1.18	40357.34174013488	51465.449946856985	17799.515665323004	50401.57533425772	10252.80636325268	18177.312155433992	23117.89027879417	23900.79352086259	20199.12368753062	13210.115096770616	7524.049708637973
EC:1.1.1.184	0.0002829425881661345	0.0002742618885380863	0.00020485808903528168	0.0004102447597853421	0.0006039361110096543	0.0016963220468178824	0.0001144883930060151	0.026986453399009458	0.002387601024419012	0.0016366414146559353	0.001225808327798714
EC:1.1.1.189	0.0	0.0	0.0	0.0	0.0	2.14662106568289e-11	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.193	99704.97916849588	197281.15807203678	93680.18026556584	177311.6201635423	29018.04898118934	29297.577156658677	91225.62304429742	9641.49578831181	41069.90811458889	23349.85861530473	8300.015199383059
EC:1.1.1.197	0.0	0.0	0.0	0.0	0.0	2.14662106568289e-11	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.2	1473.8559337611605	133.0874501109082	186.04106928003958	168.92990582595547	406.7002795056384	1134.5413358844237	605.028076493136	1377.2867498771677	956.7796509449431	1064.7028133124866	689.7884720329187
EC:1.1.1.202	1918.357253005454	2558.1134705404556	981.1029491667466	3298.086693346944	4704.057959210961	3336.8970643090793	2179.704079170649	965.0890192221589	16245.770702020889	1755.8814392596428	1602.9562876467096
EC:1.1.1.203	46.267919112051224	1704.7831492213895	60.46742714664538	303.2292615903357	9.196881109591633	114.69866974179453	57.78092851758112	795.560628503879	147.6297221611271	334.4282185446407	194.9324494962839
EC:1.1.1.205	130684.49734077723	306128.0251271689	100686.72389765151	203511.42353159684	55546.31458541669	54714.54811539775	118272.51554219032	22334.80255097497	83559.95021631081	32927.973914203896	15633.301959172757
EC:1.1.1.206	83.55245170328323	46.115359983035916	124.66343734162577	310.10079109915966	368.1597607710196	259.1469651085237	244.3457742921369	1347.0197249905282	309.6949437797048	369.01918828672433	143.51109122673452
EC:1.1.1.208	0.0019026041167536447	0.0018442320810855013	0.0013775368567702025	0.0027586280803585917	0.004061075918300624	0.011406657618945425	0.0007698596710577848	0.18146627436441196	0.016055057556613662	0.011005344629650835	0.008242760433969477
EC:1.1.1.21	0.0	0.0	0.0	0.0	0.0	1.0338451899112782e-21	0.0	0.0	9.814857234239835	0.0	0.0
EC:1.1.1.215	257.06095822031097	161.80449472212098	359.8936429926824	50.28752518602802	41.42632805914562	97.27305139172645	69.02436082926496	927.8482813157079	221.15825206576386	420.27350036457517	256.86710623747155
EC:1.1.1.216	2.17963879901121	2.1529941280100937	1.5777423047039147	3.511549923607579	4.6556623111639555	13.066353552008856	0.884646491488616	208.23666296944592	18.386599739696724	12.605888437249684	9.439728744908505
EC:1.1.1.219	894.958681096475	2937.727480167337	487.3773775113558	2236.618330440536	5084.336935144707	3740.3473887325617	1708.7569145304308	2575.3465368677507	12245.023893483307	1118.4055922299153	1319.2129210562439
EC:1.1.1.22	164612.79935248036	423690.91926476016	146050.3698151832	259252.96804188547	40940.960679090706	48849.527722352286	154410.5843994	16740.1948527099	67130.49239229501	28467.113194124096	10659.289382576802
EC:1.1.1.220	0.0	0.0062738035694014736	0.0	0.20274349161362493	0.02382512489880909	0.05684744874752609	0.11704530568394722	13.105340775115552	0.10032611187857889	0.040971331512565996	0.14212957091518416
EC:1.1.1.23	107540.85212925618	193126.92759088083	75274.04946971576	145066.2752578795	47478.751715741724	44364.11400401163	72513.46243104625	18947.515729078823	59648.49363296043	27130.72408113903	11951.002651619607
EC:1.1.1.239	0.0	0.0	0.0	0.0	0.0	0.001007190529929864	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.243	0.03163569685275906	191.75885010050044	0.03730036320424039	27.045159173063134	0.05694622700731481	0.29298402447309313	515.8607337709633	40.95548479055003	0.16489169572802226	0.15461682690727424	106.73007518308636
EC:1.1.1.244	0.0001081731413279781	0.0006115489501622279	0.0001275425504061648	0.000872396270869077	0.00019471165439036056	0.0008636035877237011	0.00020766929270986167	0.0026174471720241572	0.0005632196290762648	0.0005282533098749599	0.0007523631759391691
EC:1.1.1.25	139480.01418229262	201926.90674535956	94490.12166509495	188879.58879516498	69309.03831480315	63936.84186543495	103093.91219456143	22300.46882001924	79394.47599592998	34659.83221717234	14062.707015968926
EC:1.1.1.251	260.066093925275	176.33794164135713	615.3163200318894	53.984756210248236	35.18976252576508	113.1108411650564	71.69437989762224	208.06607451042237	134.62494104616817	137.78079318371087	141.33790186036754
EC:1.1.1.252	0.0002447123505405634	0.00023720455744343888	0.06511154692032384	0.00035481388685493	0.000522334323225747	0.004135550062319697	0.5564286091869803	2.376772250326815	0.0020649965161680293	0.0014155040079626424	0.0010601812867834799
EC:1.1.1.26	1412.6046487986837	599.610152189903	124.5939707310835	5801.559613318724	447.02236384857974	281.5098286462749	429.68626933978595	1216.1114474303918	369.408865485487	229.4966896642641	131.7587623551232
EC:1.1.1.261	19264.25166471963	28042.690590941773	3505.720094905419	18743.142224985535	7001.623393583895	18537.87790428244	16129.54985214113	11319.233808750614	11777.66968251158	8682.859380483364	6299.414359411366
EC:1.1.1.262	118303.10253733204	255571.20726480416	96770.40842419956	186123.896980644	23978.341838156317	16957.3607933351	83526.44014144092	9132.183380078146	37011.21284731079	23227.0731060325	8343.815031795926
EC:1.1.1.264	1257.8260081695616	232.29287784158174	317.46736805942754	490.6737340111101	112.54394318565149	395.61695956392145	303.5100970702656	722.6813717369616	441.4786879145149	301.5231961935516	151.17772990185512
EC:1.1.1.267	119852.73731983264	196352.01999833793	92375.31209882333	183350.76106391125	53204.720821519106	47911.79419447636	97157.27365295307	19381.07377204488	70429.17042719382	31399.285558941792	12735.462197492692
EC:1.1.1.27	43682.145173739824	78964.01714861991	15706.34121605385	51480.44855266982	24644.132434000057	45547.502367148794	60650.68035665062	24905.158645019364	74393.516881071	18121.541059390132	17771.20711446247
EC:1.1.1.271	95138.44731261746	173173.36088680505	88538.02529174011	169373.53461244787	28832.764540181037	14025.552340386545	77561.9730151576	3560.955843545613	34120.05715881052	21296.440101952838	5532.000558067726
EC:1.1.1.275	0.0	144.37031386140532	0.0	20.188332332952545	0.0	0.6014961970610216	388.69510329738415	30.28626638526923	0.0	0.0	80.26350417255601
EC:1.1.1.276	0.2611329034475251	11.344634438848656	0.20846276456584548	28.90306109501466	3.8620034372102756	9.569252176518484	16.47483850478952	54.74679122495581	24.04162884890353	7.179453821978082	27.70600731234037
EC:1.1.1.28	65400.5248773689	161000.1404075987	37041.46771630288	73041.91044224198	23554.842694853643	20647.143910889463	51647.4540984775	9900.317275135943	39351.95218741467	11499.289700296336	9192.18356352036
EC:1.1.1.281	6115.667612350791	335.458019302808	987.4710769733413	5357.267937011176	4614.357389988096	7181.447773126565	16845.61129353673	2480.207387284072	2730.2700001455887	2261.5416400514405	1243.0179638946759
EC:1.1.1.282	137.92	96.16	336.66	26.98	9.85	53.11	21.84	83.95	70.03	72.17	74.1
EC:1.1.1.284	1438.7112976308904	1461.2633324232663	1009.8864419845609	6407.596256266671	2241.4061989289676	2697.0428793451965	2044.231193379736	1673.6750892271116	6319.554712470365	1335.962659609963	1376.3889802175681
EC:1.1.1.287	2138.0222565709937	254.58896967437596	442.45197009084364	1537.3616494388302	1781.6736768992741	1790.4972911904056	947.7451842938433	2072.4490815440786	2626.996179282801	1731.4536900931494	1148.2309837382481
EC:1.1.1.288	0.0	0.0	0.0	0.0	0.0	4.384359300713461e-25	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.289	861.5216516655609	123.3181873937027	211.69449868839467	524.0272198705642	600.7645318585357	313.7139809879893	138.24068260785364	62.14814921793051	912.6758479001057	285.7399606297383	80.46169283643663
