	S210421121673	S210421121674	S210421121675	S210421121676	S210421121682	S210421121683	S210421121684	S210421121694	S210421121695	S210421121696	S210421121697
1CMET2-PWY	118664.87996714457	222546.5943789016	95919.50206204897	196102.4125548063	52122.104199149275	47276.89725592843	108844.64697494548	14883.407321290415	75846.2850878547	30425.874253912883	13165.159158964954
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	35.971993424641795	140.9664612568707	29.087941809460297	85.7990899646446	20.409616316128087	64.9797642610524	78.40029643160017	1282.7986885357798	303.71417527418714	522.9593373874843	316.17533890455115
AEROBACTINSYN-PWY	114.55596468169662	81.22605664757218	280.5720619551119	22.42649311996943	8.214692339079814	45.6415341366151	19.603328992896213	86.69939848632741	60.38267532346664	60.37323743942666	62.935491859333425
ALL-CHORISMATE-PWY	2637.6112217377436	1304.0661465719757	3131.6928465918013	543.3970891214799	235.88752181046397	779.0450201538372	462.86327249414376	1170.2643833531183	1097.2024522402448	1180.291857887311	845.1255022679264
ANAEROFRUCAT-PWY	107061.29488505729	199276.6604621786	56905.35029688757	144933.01019857835	46920.19730840771	50303.42076966888	110686.46638854814	20737.185894433303	77455.75247131441	29396.286719429634	15607.061624324742
ANAGLYCOLYSIS-PWY	160037.80845954447	281212.9885353519	120392.08223732619	236001.49023682842	67851.1833276564	68117.87954165501	138763.74390592962	29983.114291797985	97864.7354921847	41765.44089534169	20474.946123053105
ARG+POLYAMINE-SYN	17251.098888361994	17691.192320370035	4974.569152472308	33685.67299179103	14837.889191872157	18245.20032904471	27352.199020765882	12023.38901500194	22733.935155521667	11304.399220747084	6409.282100735383
ARGDEG-PWY	96.27239540835966	74.19266492796741	263.130787951022	20.271472639529133	8.315984254998025	41.01180007651949	16.474056915092618	252.73858395913317	70.8724052115809	59.161097730474644	56.31160253104835
ARGORNPROST-PWY	16205.309943464606	10278.016611994966	3784.7861141732083	7111.761606018453	7451.056840416024	6945.417462931905	6535.638260022343	2998.548314966541	17273.45440188843	4649.296530522484	4286.203447624796
ARGSYN-PWY	82629.57010090348	96093.95413406541	56297.35569589874	71883.51668352683	44558.62488937245	45802.43493890112	57787.282288081944	19156.024034826565	59353.30830162754	23282.1806679131	11504.290579700566
ARGSYNBSUB-PWY	74533.86241630682	68663.88841071405	41973.4383418905	57061.86971705904	43717.91249233757	44781.43232697373	50845.641206627675	18329.6050004533	56693.89237197813	22113.53028341993	10819.5427699764
ARO-PWY	111073.64057795686	148753.31833198675	66392.52820361563	131530.58181659135	57879.75466411384	53137.58003801346	88136.34477596288	20525.490453473863	74581.94397966405	32098.20863508769	13779.070838347614
ASPASN-PWY	132027.52109711478	316752.67421253206	104551.27092116678	209589.50995607552	44939.27360233041	36696.48199500006	112303.28527172904	11710.606024962979	68938.69235915627	25968.617239115985	10803.476037521661
AST-PWY	172.36225711008484	179.909863709371	394.50910194650163	145.9546181235146	15.871398923610592	75.3316596673699	47.19662627419794	456.1646394382911	111.68189109527009	137.22025517754156	144.51399260042865
BIOTIN-BIOSYNTHESIS-PWY	89766.92157805036	95133.73717004167	83719.37123180622	150711.26774847193	23947.061331575198	17446.13404795383	67948.03670853518	4425.118816138197	34231.15996205509	18997.36049244188	6227.737904923477
BRANCHED-CHAIN-AA-SYN-PWY	136744.3322908368	234281.91211499443	99761.51532357362	192544.16684396085	61989.349693576034	59080.43612713458	99799.01699990402	24484.879488198403	80667.84235261311	35269.390043045045	15781.908147847495
CALVIN-PWY	153667.29539263528	231829.89174382197	108230.62229837729	218834.20264232278	66951.53398902783	59359.802904160926	128868.76970807854	29649.90095685195	91713.65157898946	40685.1758052023	19830.038549483874
CATECHOL-ORTHO-CLEAVAGE-PWY	33.57135228377807	130.46414787815274	24.360442916623153	33.30262358403333	13.08453740866227	48.528256375144764	50.68143746757091	872.4398114625382	174.09878192038724	372.7942993239616	373.7963663016576
CENTBENZCOA-PWY	1.9938683994807116	88.40871764679676	0.3779515945596695	2.4107901477676337	6.507469728470188	2.093909761764551	29.987447419857617	14.656766320810494	2.7616546006994707	0.8450660053010036	7.61046866754545
CENTFERM-PWY	7906.700096572044	3312.187844246081	3475.792662079799	14089.587858760027	5959.452429745033	5197.480828202987	4647.079002277854	4294.701494063828	11175.382994722508	4487.244079648638	2323.307696683589
CHLOROPHYLL-SYN	8.69545780715909	158.35326620811009	4.383533230732999	7.787624245127614	27.687538238968205	25.63910252262436	52.80717816192222	323.3202683284182	41.58481780614986	25.21747056714427	19.168048439754035
COA-PWY	121085.73127001981	228806.4179188608	104882.39757506497	194400.4899638599	49894.32053880443	51693.98433812384	117064.1181381046	20399.678271955385	78746.67101312827	33474.74114347151	15235.213922654706
COBALSYN-PWY	67304.95374305411	143413.30953870772	61116.62545638694	92107.406246038	22625.439723085317	27058.607657095552	63122.016086607604	14894.445851359817	36019.498137753035	18330.91185728087	8695.483990916699
CODH-PWY	1032.2565596730012	27797.58593859443	2356.991523395952	6663.385196553608	1159.0302363930382	1262.9352733682927	4544.82908919869	1110.290208377601	1951.744350785755	559.7044399941884	375.6484215958527
COLANSYN-PWY	45760.5583111102	139804.61893406298	52748.35802349003	101684.83657253829	30068.79997762653	26455.421196093954	73576.2249132212	8849.119545692181	49882.39718303654	22706.429154770765	9645.104874876246
COMPLETE-ARO-PWY	115880.0684280148	160088.22970938493	70831.88715105507	137744.0016638404	60097.69198379073	55035.19151721646	91196.31001718873	21346.64848937996	77444.46400311906	32935.91075381545	14250.497059533367
CRNFORCAT-PWY	1.3929432579092291	64.26987009224328	1.6422617681373803	8033.135952586152	2.5066350762694083	11.113129926182122	24.016695329140653	217.9399517969761	22.209712369593024	35.893377363617695	34.892314023227236
DAPLYSINESYN-PWY	83967.00573834326	92453.29140447447	21969.093799708015	74488.31234803934	45526.05599446777	48460.82955155524	58707.08706168405	22207.02663723203	67277.39001574821	24030.300722951823	13742.9486867595
DENITRIFICATION-PWY	16.971794505311408	60.799357072337145	1.9558437844322494	7077.368380058435	16.40310780127731	33.33098790792899	282.6666291022155	126.42223493485378	41.182305177006306	19.62380798348533	69.42049586434213
DENOVOPURINE2-PWY	83460.83894659953	252475.34388555065	83243.76568004437	159318.66691688754	26086.168935215606	33854.059115037	93155.50311969157	15657.40808217823	59859.53514235308	24359.43343722863	10447.792405831737
DHGLUCONATE-PYR-CAT-PWY	15.243095497408067	37.07305887128125	3.3633711404820676	0.0032127922374788	0.0007170909707896803	0.003180497581418081	10.591284594008695	190.41637096755133	13.187309365381319	15.564172303556724	39.2950497181154
DTDPRHAMSYN-PWY	152935.69055021633	436031.0650829467	104988.66596600981	229328.23000952005	49165.27491578768	48537.399673454514	120904.36730906885	15980.072379808606	68413.63611280738	30521.943954219674	12468.13110571195
ECASYN-PWY	359.8365370477387	245.120580443978	828.3641891551233	75.02503200561769	37.318124565370546	159.03294782029644	54.59763081936824	453.10636826904016	248.77185141300737	368.1698145470317	247.6081572136275
ENTBACSYN-PWY	2181.9977397752837	911.9161603543566	1960.402777817896	324.5462106011393	357.96127724864306	529.9349162188776	498.2770071581662	977.8401190741743	715.5431433002085	925.6989344155786	688.4925677623768
FAO-PWY	4920.519840908137	1862.78122305464	2071.914474536844	6005.926843490429	4033.7012902137867	3415.046517209331	3028.7498214786096	4224.54038223148	8436.82416056048	3069.70312954792	1870.1587885500028
FASYN-ELONG-PWY	132584.16735888712	287472.7601595282	115999.713926623	239182.96500908773	42355.41416526631	37679.347996477205	121895.69371283254	12892.843145298779	73406.61116067645	33421.22726466165	12067.852981370272
FASYN-INITIAL-PWY	80066.45427313514	46664.11734725858	60317.81892180115	132960.94668904302	25851.23602087519	16379.83911525193	83874.4728863373	6195.090523828415	41764.175863384124	21483.09235585612	6430.82405684418
FERMENTATION-PWY	81290.07580240494	94214.04418394178	16086.990734989296	62331.75622311402	36332.85792588709	37005.87957040736	61104.13068447941	8548.051214053397	61040.25582846819	18708.9356760769	11209.273540223594
FOLSYN-PWY	102224.92567862417	213544.46052614046	94286.42904274836	178033.9079498848	28370.56289810758	25177.50134005334	97330.51450580073	10133.3620962689	44490.03402710711	24427.24285029649	8856.070612067633
FUC-RHAMCAT-PWY	36731.78486164842	13312.19255638785	25459.78896164041	13714.397060166773	12122.686532899656	10939.26331394034	17630.00541418767	6315.983818281957	18183.857170380546	10082.943518020484	4990.119996395709
FUCCAT-PWY	30862.459056778323	6276.6566109402	17506.476649022447	6691.567462882063	11848.241957598348	12301.88904271522	10969.487544245183	8173.938734757351	17420.221210835804	9516.492391875887	6500.05000239859
