Unnamed: 0	description	S210421121677	S210421121678	S210421121679	S210421121680	S210421121681	S210421121691	S210421121692	S210421121693	S210421121707	S210421121708	S210421121709	S210421121710
1CMET2-PWY	N10-formyl-tetrahydrofolate biosynthesis	96658.70540845126	29067.257815099198	110981.38328593364	71248.21482254693	60362.5673200426	68788.17738158564	24808.892921066305	59638.87354948236	22586.644850463512	6019.728524488936	10034.184183278869	1237.6193363140276
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4-hydroxyphenylacetate degradation	7.559645142361611	1.3258065517079385	60.50650657309164	90.65465042774682	25.120239491029608	209.2209193188176	128.46560267691342	315.6166853981032	654.2575710620171	275.65165782798323	228.27383444346185	94.66254253103394
AEROBACTINSYN-PWY	aerobactin biosynthesis	333.7732849466244	20.80710675825059	28.843513228592226	101.74231103915926	38.67345672684888	62.41522189131523	79.27101956163509	151.42465671184644	64.13110149851248	68.02176304617925	53.98913851042019	17.012188143453955
ALL-CHORISMATE-PWY	superpathway of chorismate metabolism	3439.314402859261	305.06677850924007	418.5975362859476	1607.1739432453433	610.5809837991659	1475.656441192198	734.0244333077668	1417.757167686569	917.856889356236	675.0783521813653	1004.7052126301944	189.40170632930875
ANAEROFRUCAT-PWY	homolactic fermentation	41780.10348959832	30713.521780043804	59983.17473610916	78320.00229748883	43556.0410132412	60038.49258682624	21465.90080760144	52537.31503510466	22201.64634131409	6224.150863571336	11855.28431889014	1119.20765570375
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	120589.1065510702	37428.08366623626	136763.43127555115	92412.26545279469	73647.62300929567	97962.10606472612	42647.738407098266	95801.69287257647	37525.92408872805	8835.396153605145	17203.522086657606	2110.528412916223
ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	4088.968216518774	3372.0873010137	6605.686240921323	18954.081527833237	5342.190319337551	22989.063915884064	11668.875982229169	16043.78115415624	12535.702337107592	2698.3283250652257	3633.675105477509	436.97974423818624
ARGDEG-PWY	superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	286.4669834588425	19.848549924295963	22.98372010720396	107.1264492082757	42.52534656768256	64.74556034346469	82.4855577877017	136.19604265024216	82.65462185938807	103.51883252344057	50.65297689587423	13.827250759308606
ARGORNPROST-PWY	arginine, ornithine and proline interconversion	1806.8225860307357	2718.923023181657	2971.0571383882184	10787.608450256585	2642.2232947483285	10981.111305245762	5321.553199992427	9613.605186752437	5131.688960531058	1274.9255974512173	3133.035958237728	159.22176780640126
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	53573.80263029221	12182.018447829603	41736.3518663725	50062.88219409013	18350.66793941983	66727.79738227498	25730.646202285625	56269.29505695784	26361.93291946532	5641.971539612891	11346.75109517784	1239.995510986815
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	37756.38360898595	9075.26080847361	32191.19090673676	47116.990305194064	13617.4374108365	67374.00165307111	25981.537692236063	57575.06284820838	26323.41378176281	5599.052113856938	11653.544470010367	1270.1080461830034
ARO-PWY	chorismate biosynthesis I	63070.59085913174	16345.599356660528	67510.26603056944	64537.897863934886	30793.52696549116	78220.28714942426	29955.86541956308	67466.72278285628	28358.305425095085	7049.8374858551215	14063.211797366494	1719.39946628834
ASPASN-PWY	superpathway of L-aspartate and L-asparagine biosynthesis	108296.9514212138	33652.20921073388	138097.48343394985	70498.47277276432	71373.5750049213	50634.69800897613	22498.288017695075	58448.95884927824	19270.16837899812	5641.709912787791	10678.32785311785	1235.6435634360869
AST-PWY	L-arginine degradation II (AST pathway)	447.95438817054696	27.812405964520742	62.78649171049076	178.7440863581894	64.90266569238688	128.25678657372745	174.5064723203785	283.3822073169761	179.64328444453238	136.43428371866597	109.87926651984908	49.424713880213616
BIOTIN-BIOSYNTHESIS-PWY	biotin biosynthesis I	86361.32138820166	23568.019695405324	90746.71568801976	45807.636667398096	54172.99480348454	21682.11637831852	2045.228266965564	3045.9982818017297	5735.471200155517	3984.924028613464	2457.117441888503	349.362322501364
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched amino acid biosynthesis	100875.89337077684	28829.64914704844	118525.79612754464	76578.88708168641	63521.375811149104	91112.8891687325	34408.45847383574	77065.8130354623	34004.54422113986	8092.545501296737	16920.167554342584	2060.573346543059
CALVIN-PWY	Calvin-Benson-Bassham cycle	108363.06142691878	31754.391603806303	124640.71909786476	90547.80520575568	64459.92159222136	92990.24171848086	31293.924743186926	59507.67359886714	38909.46820847616	8231.505416481545	18440.751513476916	2300.343442954374
CATECHOL-ORTHO-CLEAVAGE-PWY	catechol degradation to &beta;-ketoadipate	9.880311819752697	0.5724780041011115	57.763890914152654	93.07863005808896	50.74991268645156	134.5300063130691	138.94517347094492	258.6881271540719	364.7824569928856	169.35491521872356	513.8894478904174	81.43596025715338
CENTBENZCOA-PWY	benzoyl-CoA degradation II (anaerobic)	0.2560348998645785	0.1624043292562094	0.7081532037145701	2.6570043801024026	1.6530072017170423	10.16510390866319	4.111517799655744	7.021704781939011	4.379029708478861	0.2461287336110493	2.5776593738623905	0.3398728601568591
CENTFERM-PWY	pyruvate fermentation to butanoate	3184.516518294059	1456.4857191284216	1585.3804824798265	12760.939272008409	1847.8049940554276	8935.360144379027	5518.388738598524	8722.288375804026	6592.08648276703	1769.7215612913838	2395.7542726998217	234.21462736830145
CHLOROPHYLL-SYN	chlorophyllide a biosynthesis I (aerobic, light-dependent)	1.611704763937805	11.905055894401636	8.915053836916927	71.89259631736036	47.974589535732775	102.66001149178676	32.98253913516251	55.155577084625605	217.5460478158025	40.66949554407574	55.855461651885314	5.5681172965188725
COA-PWY	coenzyme A biosynthesis I	105612.75170271524	31798.536531857524	110082.55410415649	75783.56472066542	61226.155868917536	70275.20242987193	27488.07950228397	61639.797136851965	24560.69454544819	6466.074044902419	10844.746165382045	1337.1080373863786
COBALSYN-PWY	adenosylcobalamin salvage from cobinamide I	60074.90196459471	15067.202165426346	64915.22121575987	29498.29972126788	34119.65928146931	47002.05779634802	21767.21339036993	51026.54450208096	19260.26225152541	3595.8138140256656	14534.099413958218	1907.5945804688615
CODH-PWY	reductive acetyl coenzyme A pathway	2704.7370395724506	155.98284997311217	1939.9637889104688	682.5611976523219	624.3748964261918	1571.3158870675968	518.3213170247401	1160.2333801011005	829.3404411020355	374.0302975467579	666.6013720226682	39.674284346968825
COLANSYN-PWY	colanic acid building blocks biosynthesis	49433.28805831398	20725.15608798744	26281.38290326604	48017.990657637885	25617.890457005466	39985.18357354398	8156.229365220643	14213.492925991264	11055.727340881793	4765.739683635167	5585.7397411124375	697.5944470962336
COMPLETE-ARO-PWY	superpathway of aromatic amino acid biosynthesis	67527.39703114644	17423.748941841248	72777.82976913785	66842.07189646133	33289.54266646267	81348.1989165026	31892.61883231269	72204.17055366385	29703.5515258499	7301.866309505264	14754.862023505058	1812.3612478340813
CRNFORCAT-PWY	creatinine degradation I	0.724047526497895	1.614103670357906	10.069237623642268	57.21719617048707	21.66771844951283	134.89389589355383	84.327943962462	177.6200612889686	40.104921142064434	138.22912337662265	55.74185663140988	3.438172194723349
DAPLYSINESYN-PWY	L-lysine biosynthesis I	17773.37877594498	9713.896125632837	25125.781602662428	55686.82623151775	16016.682311573526	69702.14516161974	29367.031490140453	64613.71168013829	29952.062304289837	6169.898362687467	12784.029065827515	1427.0668615540017
DENITRIFICATION-PWY	nitrate reduction I (denitrification)	17.234093264975293	3.452566507501329	35.79417966349277	130.44969056978815	47.07670362848778	138.5168797293838	44.38545124626753	107.65027835796346	36.08681494600136	106.80580647450888	44.283113677654526	0.7373024291767221
