	S210421121677	S210421121678	S210421121679	S210421121680	S210421121681	S210421121685	S210421121686	S210421121687	S210421121703	S210421121704	S210421121705	S210421121706
K00001	77947.89738765196	30068.31598191308	86070.7340287946	55572.83719232651	54718.76997684507	46904.787436644685	17915.16775448067	36587.544982525025	8917.787715883878	3046.6493356024157	80055.29411987809	76620.72699458123
K00002	100.61078719996416	30.94394729570114	41.688474940193174	225.2258257010381	26.174663676104327	1429.6327132401166	366.0132390505764	556.747630579064	568.1711937142584	13.398771670082102	3405.633213367728	3033.208334246011
K00003	16470.15052319512	9917.723125418388	20782.001011147266	40933.60348155578	10114.646924242736	44172.985157751245	10485.148346694054	26258.670071015258	10213.481698967698	1916.778828423401	47545.80969681626	78477.69748586585
K00004	174.83150334753518	639.2225135232773	356.97043938724426	3449.3129538486205	720.3738268890634	7968.942245725784	2623.8599267482596	4041.393918875624	5060.779737531477	208.18499296104204	8266.651406132161	28046.53858286859
K00005	3918.22039951	3294.9863609654126	3453.0112421311496	27041.144582513312	3611.9016682236384	32378.440661942986	5795.351363627222	9501.778206784402	4687.823326466323	325.0927972068966	25214.998591473035	39383.583806012044
K00007	5.091338546967458	0.000244921190250098	6.250170695032873	24.502526185017654	5.0016113863390395	3.500961467584803	7.827925038568804e-05	0.0013654246665205625	228.00141620613834	2.5554609536353353e-05	24.87105073225609	167.25248315681117
K00008	33960.776243654225	8554.736340463782	47690.66757737205	74933.44633098599	15055.762733960666	85258.47386370186	22363.408189145586	22075.50197196596	18802.479211814447	1235.4373099491281	132481.8800823155	114038.01851519042
K00009	2736.794938806451	4041.0295728201354	4758.594600752587	18294.840566140185	3639.861073999251	9956.156302751147	2487.8275911896812	14334.750903904547	4724.267225596257	1169.7292834352882	8738.549799977038	18423.955310196383
K00010	18345.142725110956	2110.5715447810157	14877.523515699351	14195.746718627248	3144.7044565440833	20704.22996539966	5345.377387233952	7140.975701849422	6266.488674931912	640.9987976806001	33530.00980630004	61080.014568282626
K00011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	273.1949485814678	50.23564502694587
K00012	152302.3337485286	46224.96262084882	193881.6442854865	75512.2432463506	99077.74042640174	55753.12038826494	22289.8758696808	36349.21771327716	7733.466027938193	2906.3849322610213	160952.94438105586	82017.70439025828
K00013	76492.8357679862	22045.66926013278	96202.10080766826	58753.743470901725	50740.04239768932	67141.87476778674	18435.14273243964	15070.226947911997	6849.601999992112	899.72753605239	99730.9587604575	100891.54714548029
K00014	95042.23838824355	25255.953061042823	110901.41055527839	77816.71085908962	56916.8039441636	78538.3213686849	22983.91561798459	20496.688744978237	8395.22228740336	1206.9370466705973	132422.36696368916	115798.71697589729
K00015	98.47191873128517	50.710683640254494	102.57392027606252	683.0059501731719	78.19759402892156	576.5833712553549	58.03450732892554	180.81091736703533	219.55589050936652	2.4488182895556223	16059.562245561783	373.91856068999687
K00016	9487.26432204488	16415.885098355157	15012.68445238373	54869.441566399706	13866.099406470717	46308.57294350761	11133.610831086919	36131.18901737142	12035.437239062305	3044.635076757601	58768.011881563536	70549.73282108849
K00018	65366.48872924596	20577.4449904871	85532.55340330156	48185.731222621456	47446.78205552457	46523.15873709154	15233.912363388295	11537.63223361766	3492.5246374606213	679.5732437602085	137213.34310218375	78594.03754149156
K00019	65.76278330237722	116.9497838798325	350.7991427131522	1434.272955497298	160.14329280691555	1711.540441425861	411.8101091988451	263.96278100820786	537.2435041085298	9.07184705768232	827.1114129433142	2337.9432619130957
K00020	12430.438726916202	2971.770535729264	2074.3285125873695	8261.367402051786	2165.811745798529	10544.516979551978	2200.0492526350545	2190.8682079856726	2718.0863722281683	152.2849685576955	39017.64312090549	23231.72300770178
K00021	0.023315590905328514	0.2240643962952797	0.17920604944835553	2.5837412934613737	1.1671682209381855	0.8553645617940476	0.02154053563064301	1.2989715064204885	1.620080513189853	0.0	9.429705083039591	57.18642229647006
K00022	0.00612150982581645	0.0136537379654013	0.00612150982581645	0.17616344943182893	0.12057862872950798	0.06145971780334844	0.0056554689543036754	0.10551417245033827	0.09190457895106963	0.0	0.05228474750404133	0.17704629075055495
K00023	128.48098552884167	5.714421790362178	200.00899963958096	2037.1137294789567	53.370905977735724	259.4846638390574	30.152048648841443	101.21572814813584	340.928807870902	2.1220029895381085	4715.8133385704505	1828.4099147405902
K00024	143047.70562411298	37115.614270489714	163732.70663955572	59161.30962654835	91601.05846304397	51312.27711092646	20696.158105228566	4790.509966707063	740.1868639612709	321.13410951307236	106272.03135779515	74699.01224438802
K00027	12196.136740700324	10866.559543448888	21611.504629502768	48006.137037504675	12098.628609225114	45289.952097655165	11849.201570050122	25512.134316241867	9225.683299346765	1931.9443468202921	70901.26836381308	67996.20365909452
K00028	1.3649306656565966e-12	3.0444132542628614e-12	1.3649306656565966e-12	3.9279671378339827e-11	2.688576391426049e-11	1.3703850180654211e-11	1.261016191110724e-12	2.3526798737047958e-11	2.0492228501461456e-11	0.0	22.05357560239049	31.096043958746762
K00029	105518.44121011894	22662.799795467457	94761.042345784	36986.325433815975	54894.91607536155	32760.032425249898	14030.371319562662	3295.166390750728	799.0519883004166	237.214349751969	79482.55893313102	50890.63594898963
K00030	490.78884462649444	456.031969505912	330.3786504376676	3001.8957782021944	512.387953070606	5827.367587278199	1591.7241400627208	3156.5548624052353	2297.650329865385	189.78941977737452	25770.296485968698	19378.17218048279
K00031	43431.65248546082	13963.198290605607	70425.26234159635	29770.18217714703	32312.78940567551	33508.7225549696	7936.3423636970465	10033.240092608808	4757.600937135276	532.4758477212147	58682.43701755159	48069.3969906837
K00032	5.798241698497505e-12	1.2932703706113774e-11	18.0300000000058	4.10000000016686	6.010000000114211	2.7924864608662275e-06	5.35681177494934e-12	9.994212079899917e-11	25.960004891521766	0.0	5.060154400322119e-06	45.08000645648669
K00033	49837.08935562131	22587.481173075295	73325.11024120884	41610.27657363221	43301.18636022274	25549.721079847037	9573.398267713292	15396.293909509983	4061.41477204447	1432.3105632017396	72960.27557351117	41811.233615344616
K00034	696.2324440191323	639.7232312138179	495.5571802027862	6863.547292334846	572.3335709279573	10687.591256786665	2443.1227630240164	2795.8842561115434	3012.6888978737006	146.00281628680588	21851.416965685617	13662.369170732876
K00035	1.8	0.0	3.4	0.0	0.0	0.0	0.0	0.0	17.2	0.0	0.0	41.35605459408181
K00036	50320.41783416372	23113.087412728288	76216.44138819954	37118.2993677902	45218.46061960135	23237.202537971836	9380.839102419865	14499.196726709406	4103.273985952992	1406.7427337653305	67087.76586678573	37456.928775312466
K00038	1.014290128473225	0.010488608125344691	40.78486205758517	222.0233917107587	83.4406724540248	99.42229981311806	12.531819070430938	0.04439084701435643	20.63585204992492	0.0	111.34571541394166	136.2384457166606
K00039	1.8012640113559732	7.867303623845218e-05	3.400096159421388	0.0003812157538082701	0.00014321883133272897	0.00021313297806179244	9.41816076278358e-06	8.0682243867846e-05	214.68173094426922	2.5554609536352784e-05	8.94164922637312	166.65298419705874
K00040	6023.072599547842	1558.0880147912949	5872.725031276259	6963.85505155285	2950.9809596654195	10980.73675932609	2127.154050584038	4110.688864593197	2097.5756054979565	279.96943424897756	53136.24308745994	19339.535331858577
K00041	46551.49009879341	6132.922042098654	32726.468412929436	17031.782722116797	13070.425344434834	21439.56838677707	6830.891974453422	3632.289845383085	1720.8668273035078	208.84452882795534	71800.53973992128	25668.766666540832
K00042	3530.0244925472316	2340.969607872704	2696.358044651652	9148.040051510603	1934.2573902700638	15506.220114440148	3449.938009980529	3256.0332479329313	4250.513867970878	182.56486021725445	47284.82478946721	20776.59789378727
K00045	1.8044334332795795	594.5834012962216	3028.284399958008	771.2782826643578	879.0517918782934	60.76733970892177	101.3412065927259	53.569213177611196	41.20934529010469	0.00034486744282011836	1694.9666897199602	74.95314315576277
K00046	51737.243702745196	15895.82991965528	74219.86298657148	29868.14892804175	36751.75734078488	40083.14630577055	10048.504774654562	9096.59052463342	3588.5072362281335	452.0126746934695	124035.63999468306	44434.496394646725
K00048	37314.9372961574	16880.429681954356	65114.44840064662	25796.51087716346	34659.26587031685	23065.172258926697	7543.07130571352	18114.548692037417	3604.4371156797233	1404.0216816675759	49098.7914330531	33001.845897867155
K00049	1.0697212271375698e-05	2.416339311772874e-05	1.0956106553301055e-05	0.0003115553564399879	0.00021126365574352296	0.0001319595229422863	1.063283594190322e-05	0.00023928008160331254	0.0003244992407702747	0.0	9.136651880345787e-05	0.00035080651310036434
