	S210421121682	S210421121683	S210421121684	S210421121688	S210421121689	S210421121690	S210421121694	S210421121695	S210421121696	S210421121697	S210421121698	S210421121699	S210421121700	S210421121701	S210421121702
K00001	24045.10832226222	36654.797028035624	98683.29374954605	26551.532106120623	8532.92248397924	8661.380253873755	18894.03593277614	51662.88108998303	24320.862944223274	10177.653496517423	1121.434811978397	5702.152777602269	2752.8818092079937	4327.893262865209	1094.0364110501755
K00002	406.7002693092202	1134.5369660491756	605.0243751101648	1264.9770587991243	472.9959756550904	556.5483848694209	1377.279177511045	956.7879085097914	1064.6982529876661	689.7853673155553	106.09040545467107	343.6380240056808	332.65010147443263	136.13955665259627	39.515720668094026
K00003	38909.9288936038	46757.42524758894	47033.49121565662	42024.690539867144	203006.9246635678	95378.5556196435	21326.30730433667	54444.24302005205	17050.359153982943	10447.410552055391	13629.923079962315	7654.487878375322	6640.100715528745	102728.07238918685	1173.0498629062745
K00004	3358.935211759653	9411.679729827727	5484.568496334896	13450.051702864657	5220.412780230482	5468.0275072348395	14496.790169198714	9039.695892849326	7916.090615907452	5456.296971212563	1079.2963742195798	2751.8550589128035	3025.9092137429025	1919.4501336309813	339.9973027088735
K00005	16590.459399575866	22886.23127275946	9558.93820915229	19633.623955560543	106427.06219303678	50030.23352886767	9344.473690191015	27237.38516960475	9393.71690010495	6229.140561531018	7245.815145502829	2513.1677800867405	3442.252875031003	53361.47343984328	794.9123431465036
K00006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0049005959475341
K00007	4.000289037365627	13.331311546180686	14.25034385556864	37.50562644485497	221.17318998604867	72.00376949936769	383.253733301436	61.000966468175754	171.5009268342563	76.00122997881033	30.330582558643485	658.0005802400046	50.67101129637722	327.00377497480366	0.0002864041503155364
K00008	58218.292506771206	59292.34619902779	46280.50802720805	51681.00396290872	29755.493036301807	31439.59823034219	52732.638937081065	64152.606662909646	44468.112015805455	27765.247572306063	4016.0745153894773	12100.401970480469	10136.688547920809	8880.87401270518	2224.3554522330764
K00009	5005.2094539869195	16398.93418718075	17704.66590214676	9518.119381578868	50083.796380962835	22017.156745348148	7853.2182941969095	15592.003021928704	4847.518727813733	4629.873345093189	3767.4468740178245	1319.6729279210363	1034.9144362384982	27361.662420147637	346.33210038879974
K00010	10252.8025107637	18177.336339187917	23117.888633730498	27510.100826476835	12322.611992326609	14676.724057196949	23900.787955558357	20199.112354664547	13210.133204095406	7524.061977397946	1370.4346315011887	8656.454413021875	5369.226064026119	3474.7329427643726	600.9395435665637
K00011	0.0	1.033845189909776e-21	0.0	0.0	0.0	0.0	0.0	9.814857234239835	0.0	0.0	0.0	0.0	0.0	0.0	1.622277750315767e-05
K00012	40940.96764514429	48849.52654650672	154410.5474628343	31169.421228028423	60497.76717590416	31192.2872508075	16740.205057995998	67130.46263461262	28467.124718506355	10659.295892412592	4457.182509710065	6176.413716800802	5938.108794261647	32110.895623470253	1248.1224976671624
