Unnamed: 0	description	S210421121682	S210421121683	S210421121684	S210421121688	S210421121689	S210421121690	S210421121694	S210421121695	S210421121696	S210421121697	S210421121698	S210421121699	S210421121700	S210421121701	S210421121702
1CMET2-PWY	N10-formyl-tetrahydrofolate biosynthesis	52122.08194471001	47217.557759494586	108529.93528695576	35501.583994698594	88419.82874995754	49798.58303247298	14780.427068016828	73422.42015991251	29880.87936994707	12481.880698953686	5722.082340164861	5806.1315922425	5251.496130845147	39386.85457600337	1437.450679986375
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4-hydroxyphenylacetate degradation	20.40960762318416	64.98037641484605	78.40166005655749	149.93743080605225	727.790422327687	338.48695838423794	1282.949459944898	303.9845762483537	523.5149544294185	316.3808717785614	95.26158479659016	1396.3226480011224	230.50208194769732	713.0682161205757	0.9376641023438612
AEROBACTINSYN-PWY	aerobactin biosynthesis	8.214692332768141	45.641534117135336	19.603328989085693	64.63189809250308	136.96617416491222	139.92273205650756	86.6993984759405	60.38267531982616	60.37323743704018	62.93549184614697	26.709014360514637	26.73953760956559	61.45017225291927	78.61489377174394	12.77030230511915
ALL-CHORISMATE-PWY	superpathway of chorismate metabolism	235.88756334130443	778.9928696966291	462.8520237287588	991.286161365769	1479.0363433930986	1410.5107754951252	1158.4542842849858	1096.3992444876285	1179.4592492549184	841.8226013513754	235.2915223366317	335.6048346195267	485.95447864924216	1235.0298855504643	134.36544988541343
ANAEROFRUCAT-PWY	homolactic fermentation	46920.20927971084	50170.55136628528	108515.05458374518	33848.43389716119	59194.59170970634	44447.257328238295	20366.383612829803	73186.2561915133	27476.825576668085	14352.89249606217	3764.973649293292	6596.135448034841	5103.823640928592	14855.60779739067	1341.811570519465
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	67851.18436927338	68018.0140428079	138191.4383773488	56228.59250809949	136335.00599903872	77586.69604826781	29800.314689289888	94615.79598226062	41078.3439617423	19643.35411672712	9444.37731193918	9703.721335018688	8255.68494829223	60269.406819978416	2102.358119797731
ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	14837.88637062822	18240.322694588674	27289.891487722325	15643.570076029311	13530.310178171523	12918.528235175489	12002.939266943067	22574.339882397417	11247.57194479221	6328.631469456411	1513.4452061262818	3915.582206025386	3215.387209037811	5848.089745483657	569.2798398117546
ARGDEG-PWY	superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	8.315983615771364	41.011928521207615	16.47406836020394	60.17067707008448	115.79448222226524	123.88940656578868	252.7124048105234	70.88166180593223	59.14640991909148	56.2838286493191	26.003572279615533	29.61562969915457	57.84020554883885	219.32679942853716	11.241893338473613
ARGORNPROST-PWY	arginine, ornithine and proline interconversion	7451.060648581074	6772.570494513049	5539.769189374652	7807.175949383976	10166.119348205835	7692.549413653152	2718.3402041948693	13785.419650531128	3572.747297196533	3464.596263054855	701.7606664163213	1461.120065650615	2051.8090720532023	1910.9221597937908	223.4854281909067
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	44558.60156373862	45740.92497218173	57697.692048218494	35961.78629609261	83162.78132816797	46377.243810049134	19052.57294061317	57240.44782962258	22807.494596833298	11000.995363023158	5617.538321778753	6638.7284701322615	6252.657487191671	38703.40825229184	1325.4445416753424
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	43717.88581992144	44731.92045216575	50463.25147198445	35783.39441993155	85568.72689984873	47443.61069115078	18249.211813229547	55086.51112881532	21758.327640239426	10446.3980344478	5731.140719747884	6743.494034066977	6361.814625375463	40074.431022233104	1305.8961964828536
ARO-PWY	chorismate biosynthesis I	57879.74396226054	53137.56027692782	88136.29961065286	42775.782901447456	105964.93232464037	60795.25175781782	20525.47966077168	74581.91729475916	32098.20877104848	13779.070402167556	6682.209048804646	7422.264565362238	6910.052653111142	46257.72880674192	1644.985575194503
ASPASN-PWY	superpathway of L-aspartate and L-asparagine biosynthesis	44939.27522932453	36621.0877700248	111877.42404323773	29758.37624058393	88171.2283744444	45844.64111709547	11564.222150332873	66569.59268279983	25394.152609039254	10159.693180429857	5745.155179944455	4819.363291310391	3878.920677950729	41161.66269093347	1282.9408315782198
AST-PWY	L-arginine degradation II (AST pathway)	15.871398855204651	75.33165940871336	47.19662620116879	139.67498302832246	414.34677014120695	368.9729404837538	456.164638629252	111.68189104467004	137.22025514549702	144.51399243462794	57.1310854635148	254.5871128097554	102.8294620843606	341.75822027948215	75.57544738111427
BIOTIN-BIOSYNTHESIS-PWY	biotin biosynthesis I	23947.04431551128	17443.28293341451	67890.54483024549	18975.66370832389	5503.743378366094	4916.5164719093455	4421.95755174801	34061.75796888658	18930.302533630405	6177.919164643582	385.63927340569234	3899.044711454616	1127.0206189651688	3060.1579493612176	889.5331151850072
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched amino acid biosynthesis	61989.32582686871	59077.44157429062	99776.051256479	49350.458768171775	114664.04841571204	62730.01504672361	24478.28682113392	80562.24005081585	35241.58979083206	15751.70859737244	7878.608630537295	9109.386677292892	8187.209753938445	53950.06641318203	1909.4408942510825
CALVIN-PWY	Calvin-Benson-Bassham cycle	66951.53921636388	59266.28126021157	128242.53031400904	43544.973677070266	73376.77357862022	54263.75449486344	29484.82095137186	88937.98539998775	40016.42167423269	19089.080094989866	5084.459866138445	9668.867115612304	7984.95149398871	21683.385330304343	1981.218140721757
CATECHOL-ORTHO-CLEAVAGE-PWY	catechol degradation to &beta;-ketoadipate	13.084537767352272	48.5282540475601	50.68143046402056	153.2513403908848	660.2387766291163	334.27328514928126	872.4396476241376	174.09876505145704	372.7940940504912	373.7962230691074	91.77403558880025	1189.5314622157186	103.40855518038406	772.2043435886035	0.3471785301528301
CENTBENZCOA-PWY	benzoyl-CoA degradation II (anaerobic)	6.507469105094471	2.093912024496161	29.98743830857489	5.370893206786627	2.8999269375818666	3.357996354761453	14.656768901922568	2.761651442552141	0.8450663499425141	7.610469308746239	0.4692480062040882	0.4861572531308729	0.7620790793199144	12.19017741223458	2.135722429640412
CENTFERM-PWY	pyruvate fermentation to butanoate	5959.451764454628	5197.165658782199	4644.339313155705	7255.94299741424	8792.654208220261	5982.680995291645	4293.934349870307	11151.718057901451	4480.4879696970975	2319.271008872163	1287.054363366084	2357.0040326974063	2618.209257817653	8232.738530596955	437.3719230924053
CHLOROPHYLL-SYN	chlorophyllide a biosynthesis I (aerobic, light-dependent)	27.687552763113963	25.639114468107675	52.80735996089496	47.152947988537335	24.961131520378988	46.00479036873778	323.3203419119747	41.58484470487138	25.217486104332853	19.168054657455745	21.099434689830787	56.102270540943074	44.31584811576984	95.60921774745148	4.662664996968748
COA-PWY	coenzyme A biosynthesis I	49894.30733925547	51614.741007231656	116579.20706830968	40038.69904921387	86611.76628035108	49453.539919604336	20255.32756970866	76056.76319333218	32899.92894885754	14559.333844108143	5908.080964544351	6358.832698483667	6449.607683865042	39221.12729461408	1509.7858658969217
COBALSYN-PWY	adenosylcobalamin salvage from cobinamide I	22625.44853678555	26975.97245366152	62640.08229182885	23440.96584690385	73361.33546842085	37065.90349294637	14749.477885932618	33180.75143828014	17751.33233820752	8010.546269964339	5240.319027324086	5057.118401690231	4788.482988237045	37059.03847534346	814.0713014456061
CODH-PWY	reductive acetyl coenzyme A pathway	1159.0287164559231	1262.9066466089218	4544.206702193016	1042.931127112447	773.4969983494228	1286.9934392517043	1110.090820910517	1950.6289342032355	559.5575984767355	375.3519311346089	95.24099878991412	306.64027989460334	370.8479000203397	558.2489642663297	35.25534905030321
COLANSYN-PWY	colanic acid building blocks biosynthesis	30068.79756329085	26439.43206560003	72967.69663110141	26497.15763290636	11484.234440041062	11282.24268395066	8836.130965081145	48999.23091660866	22177.126688276825	9481.26189072979	666.1808800577452	3556.6701023732585	3404.0606622814275	4723.362126640391	1092.8114682814642
COMPLETE-ARO-PWY	superpathway of aromatic amino acid biosynthesis	60097.68233443832	55035.17087496098	91196.26365532482	44802.16107576283	113579.66835888384	64753.744204807816	21346.636818418006	77444.43961135358	32935.91075688825	14250.49655745522	7164.015804696645	7674.00326069138	7246.783759654801	49772.66538918609	1702.9609824354798
CRNFORCAT-PWY	creatinine degradation I	2.506637600799148	11.113139814760697	24.0166979668191	107.61031583940613	152.83343584873174	31.675068361506728	217.9399757318969	22.20971537093608	35.893379678965594	34.892320593896635	4.657942852271155	68.60453287401374	7.555843100540599	108.23910217009798	0.0
DAPLYSINESYN-PWY	L-lysine biosynthesis I	45526.041845542815	48294.02527627504	58137.30980654409	36607.1961566416	94295.3618817093	53822.05007773405	22054.694069730715	64732.44982674725	22594.367171548667	12907.859871305189	6375.461262134395	7520.349278814921	6832.193253634937	42105.52240264273	1500.5710780394545
DENITRIFICATION-PWY	nitrate reduction I (denitrification)	16.403123087908266	33.331016180672925	282.6660006692746	93.77458195540784	137.39623379351175	228.34152266321328	126.42227546685746	41.18235295487899	19.623828769822754	69.42056240185036	6.1219405592222085	100.21211511065287	50.12895431302786	97.35980666979206	8.449239124825285
DENOVOPURINE2-PWY	superpathway of purine nucleotides de novo biosynthesis II	26086.13822493404	33694.4017866244	92375.27884719156	31272.336886256977	52754.11895681481	29278.405848025	15401.622936688524	54480.97455205613	23348.83274315444	9157.506143366489	3810.596139897343	6052.601558549151	4803.054387986785	27058.69944985763	1006.4940488386544
DHGLUCONATE-PYR-CAT-PWY	glucose degradation (oxidative)	0.0007170915407802	0.0031804997373057	10.59128156640982	22.47931577954986	62.11795844856727	138.93864447027468	190.41636581789564	13.187308427478351	15.564172303126988	39.29504957110016	0.0013383431457854	214.654726777146	7.767871132558413	81.68046937026772	0.0
DTDPRHAMSYN-PWY	dTDP-L-rhamnose biosynthesis I	49165.27720429209	48372.39322799181	119652.04116046018	34584.61111694075	77960.3932115189	39968.0411611156	15571.08039558246	60564.52588945306	28931.738535667253	10724.516025204775	5357.6465247469205	6459.541144208096	5462.464377819323	38793.75348551045	1276.397656968104
ECASYN-PWY	enterobacterial common antigen biosynthesis	37.31812448098928	159.03227976472957	54.59757492458724	184.25155128433477	416.1652122190816	365.4379283947457	453.0353474475481	248.74756501647653	368.1128546011551	247.44322701245363	70.90268357656636	443.0672417982394	200.79621463655917	281.1603728015121	36.4975008376138
ENTBACSYN-PWY	enterobactin biosynthesis	357.96119811392623	529.8825522547319	498.1529578665508	644.6087256800087	1197.71143227143	959.9800643926131	977.2884306937444	713.8428764866992	921.8986464392492	684.8829689816099	189.04335685278696	416.1574538923065	378.6383309278594	933.308970878664	92.9393559429096
FAO-PWY	fatty acid &beta;-oxidation I	4033.701193839569	3415.042882416813	3028.720107782384	5821.843337894979	5001.188149171665	3323.250424412546	4224.539883118433	8436.812882833134	3069.702995132754	1870.158141866712	671.9911940884812	4461.728553908049	2485.127832192386	2993.112929582476	399.1253337032498
FASYN-ELONG-PWY	fatty acid elongation -- saturated	42355.4035949205	37534.19645913554	121253.04361856222	33577.75740058172	12417.789181430004	10347.59623870515	12618.661760258366	69332.1830962392	32613.987962505944	10970.323727249905	1232.1836661137536	6102.675503181736	3643.9776073840326	7502.359482450316	1400.369339015241
FASYN-INITIAL-PWY	superpathway of fatty acid biosynthesis initiation (E. coli)	25851.195702502093	16375.276081801	83629.75330237026	17639.733542103106	5434.695455627074	4571.902402532387	6186.9549638079225	41368.62821418721	21249.382776548857	6346.943779389983	496.4819088909449	4683.669666078703	1612.5430208264263	4220.851538053948	842.8172336941672
FERMENTATION-PWY	mixed acid fermentation	36332.85319495614	36993.56176450416	60311.0507264485	30507.29873195541	78016.53294050832	42893.66245646858	8540.226183137345	55390.64748836083	17765.345070888812	11031.27447377021	5213.931331944547	5173.206366100428	2261.450960575032	30677.457278548525	1042.9541101803711
