	S210421121682	S210421121683	S210421121684	S210421121685	S210421121686	S210421121687	S210421121694	S210421121695	S210421121696	S210421121697	S210421121703	S210421121704	S210421121705	S210421121706
K00001	24045.097954939854	36654.77377391298	98683.30188627343	46904.90121730404	17915.211086760868	36587.55964527046	18894.028492087255	51662.858957506054	24320.848683920827	10177.645170714002	8917.806146694544	3046.649958182527	80055.37679148949	76620.91548767089
K00002	406.6996200149988	1134.5382038761854	605.0266712023185	1429.63380705778	366.01238774553804	556.746927384466	1377.2814629502818	956.777991350358	1064.6997135126335	689.7863422382109	568.1680762961479	13.398756713342184	3405.630893967358	3033.2027824243905
K00003	38909.91911589532	46757.42438664152	47033.52630070923	44173.003008475294	10485.143738363098	26258.671486220483	21326.326137545846	54444.27892987571	17050.359142900754	10447.410281822453	10213.480300529936	1916.778715006817	47545.781760773214	78477.7082905036
K00004	3358.9379204243987	9411.67557850889	5484.5781112107725	7968.964119123799	2623.868178596188	4041.4123699825423	14496.791123258947	9039.705893619845	7916.084865297565	5456.293657383676	5060.793620029912	208.1856677884448	8266.649358049617	28046.684723129794
K00005	16590.41999870786	22886.201299718407	9558.938958360812	32378.625793110798	5795.371111855287	9501.793594490313	9344.46454300967	27237.381795534493	9393.69448659864	6229.1343182124165	4687.838461865172	325.09320325775354	25215.001215048876	39383.630778915496
K00007	4.000289037179707	13.33131154549295	14.250343855370348	3.500961467976683	7.827929214871768e-05	0.0013654254456940574	383.25373329932455	61.000966468086546	171.50092683422326	76.00122997839615	228.0014162065384	2.5554609536353353e-05	24.87105073264219	167.2524831578708
K00008	58218.12791316574	59292.28621562384	46280.48963687269	85258.73982050331	22363.455774531903	22075.53901558894	52732.5980723863	64152.5270478552	44468.03700772043	27765.211491410268	18802.551356833468	1235.43789207069	132481.87644692603	114038.45615148463
K00009	5005.219261048624	16398.955085540285	17704.669117522637	9956.197729724638	2487.826765547284	14334.754055331714	7853.215586811606	15592.061628110385	4847.521821860922	4629.8764497490465	4724.269747620192	1169.7292347402768	8738.548840811713	18423.98305958715
K00010	10252.809475346305	18177.322710973203	23117.889763320185	20704.330657521554	5345.385458037594	7141.002827359818	23900.83062209979	20199.159539738055	13210.11687118142	7524.053326647576	6266.501171700937	640.9998077658034	33529.91730756842	61080.23821141735
K00011	0.0	1.0338451899112782e-21	0.0	0.0	0.0	0.0	0.0	9.814857234239835	0.0	0.0	0.0	0.0	273.1949485814678	50.23564502694587
