	S210421121682	S210421121683	S210421121684	S210421121685	S210421121686	S210421121687	S210421121694	S210421121695	S210421121696	S210421121697	S210421121703	S210421121704	S210421121705	S210421121706
1CMET2-PWY	52122.08109142536	47217.55995010754	108529.97308489321	64829.20149644687	21490.26151512645	24766.43880904406	14780.43608953168	73422.471231061	29880.879590015815	12481.881056554836	6947.893245858911	1624.4807616305413	115520.20232896012	93232.84661620577
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	20.409613606304948	64.9803988068918	78.40170931161623	29.106618034152095	0.3370526102153458	3.7071640704335986	1282.9497087778793	303.9846222566999	523.5153748657033	316.3809524944815	486.38647749905607	0.1742813236837485	276.78250969353235	1024.0535463890599
AEROBACTINSYN-PWY	8.214692320439152	45.6415340963412	19.603328991906118	57.802804459378436	2.4866416226555565	21.458032028094255	86.69939833064363	60.382675258584754	60.37323738997158	62.935491829149726	83.52535366009243	6.722286893383729	48.84907845318648	100.83534521785855
ALL-CHORISMATE-PWY	235.88750702296787	778.9921330998089	462.85275729312343	1157.1272184306688	64.03003035405298	414.7171212948905	1158.454193234549	1096.4006799031106	1179.4591519179855	841.8225970649208	522.2365546372898	40.01845212168218	735.5839641809652	1556.341264683252
ANAEROFRUCAT-PWY	46920.157552073906	50170.5309801633	108515.08683653729	65507.958942510115	20802.729599139755	26070.912552925514	20366.386951297274	73186.23201683648	27476.814846298923	14352.888573664683	9288.508248892607	1718.4186193062085	102635.95195012375	92586.85149831376
ANAGLYCOLYSIS-PWY	67851.1623820227	68018.0118226284	138191.4845811727	88398.53362827972	27786.06489642611	33467.881912728415	29800.328060115247	94615.82168261523	41078.33959530471	19643.35184577292	12821.449236253908	2502.3417635236724	153647.398618102	136501.8215410005
ARG+POLYAMINE-SYN	14837.89123472527	18240.322749911003	27289.920105529673	23227.54055207236	5571.998486026625	8128.285401235592	12002.94612485592	22574.36312611031	11247.571770955083	6328.630686941952	4745.834393367167	451.57840504412144	14124.007276778428	41486.517366544496
ARGDEG-PWY	8.315983717166583	41.01192947055832	16.47407016759274	50.78543371255332	2.2468930269106377	20.90061311466651	252.7123748180267	70.88166038407836	59.146408817535296	56.28382403904565	82.86411191549524	5.5792891157237285	83.71020757589405	97.20077266576189
ARGORNPROST-PWY	7451.057255297726	6772.562056460521	5539.81458737106	11177.063603332632	2487.946165376826	3822.9063033472203	2718.3385371060313	13785.437697563155	3572.745396173518	3464.5945205369994	1128.117825976771	150.79378737778003	27020.190875950728	15661.562311243311
ARGSYN-PWY	44558.60433354378	45740.923441793624	57697.759371350636	55926.83638544697	14458.767045320883	18746.590836028467	19052.59249935074	57240.52846228807	22807.494123027882	11000.995212387292	7269.349117672552	1182.3782338864585	83263.67060501256	86788.71342756684
