	S210421121685	S210421121686	S210421121687	S210421121691	S210421121692	S210421121693	S210421121703	S210421121704	S210421121705	S210421121706	S210421121707	S210421121708	S210421121709	S210421121710
K00001	46904.812962981654	17915.169413447045	36587.54598119919	39801.23544304936	9050.865432985724	12252.674935087847	8917.782660495199	3046.649517893417	80055.32785794057	76620.72148398552	12922.24023931026	4887.909024187611	7680.871026374965	926.8222553707666
K00002	1429.63579527536	366.0142232939561	556.748753567034	2422.0024282437143	754.6490425567159	819.9181123976214	568.1722809383917	13.398824150730068	3405.6559529050437	3033.2121176408755	1587.8479835393484	181.04149002016703	436.3326306748252	45.59715400207376
K00003	44172.99968804589	10485.148265942207	26258.67033538584	68872.9953532412	48170.904973065204	127860.34268289278	10213.481295040765	1916.7788146577782	47545.86080164889	78477.69423706834	28626.58939033806	4994.408885923448	14328.802315147694	1712.2507936507645
K00004	7968.9446078025485	2623.8592261881486	4041.3940445683847	15370.706275362685	8434.426216680473	7541.702119601399	5060.776761064079	208.1851736984306	8266.653959749703	28046.548109262345	10229.193106215802	1644.9699170144625	2901.870861283329	125.51497214038223
K00005	32378.63688395393	5795.374565297638	9501.790814290094	38352.0442199846	25561.502154897807	66717.7968239228	4687.824516474659	325.0936686652584	25215.0085575869	39383.60834726981	16127.969375375364	2408.1219120789747	5609.178482758543	757.2234155915504
K00007	3.500961468142145	7.827930726043767e-05	0.0013654257276336532	31.25936112904599	29.504502855871856	74.25734090962669	228.00141620678954	2.5554609536353353e-05	24.871050732781896	167.25248315834887	153.00435435624297	76.75050576048304	38.252673848532545	33.67041332892708
K00008	85258.63836492985	22363.420259835235	22075.511485900344	114104.40014453096	35281.69012545912	42715.36689682017	18802.4632245698	1235.4384939037554	132481.9907174838	114038.0000590639	48656.53646940508	8113.074031899949	19274.589451072126	2197.867808964185
K00009	9956.142461453925	2487.824664717822	14334.748900208997	14328.862458308267	12368.536528444187	33375.96350159638	4724.265728801363	1169.7292203272293	8738.548674967786	18423.940611800812	5155.688819432462	842.1604552253652	570.3101787258643	55.514126710466606
K00010	20704.251907200396	5345.382004802466	7140.986296276698	24478.116178253964	17331.68678039434	11517.282405344462	6266.4913753699275	641.0000953426475	33530.1559373743	61080.11933387289	30449.09262041605	3499.465304917252	10654.956945968363	831.5133099451537
K00011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	273.1949485814678	50.23564502694587	0.0	0.0	0.0	0.08139111407369513
