Unnamed: 0	description	S210421121685	S210421121686	S210421121687	S210421121691	S210421121692	S210421121693	S210421121703	S210421121704	S210421121705	S210421121706	S210421121707	S210421121708	S210421121709	S210421121710
1CMET2-PWY	N10-formyl-tetrahydrofolate biosynthesis	64829.17371540513	21490.253789063605	24766.434490452117	68788.14029144011	24808.91165117145	59638.8796353389	6947.8953320181645	1624.4807344869762	115520.21132124608	93232.80495457958	22586.674761616057	6019.152215804224	10034.18406303236	1237.619283991947
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4-hydroxyphenylacetate degradation	29.106605843281613	0.3370526142173059	3.7071631603628026	209.22089606133605	128.4655984327306	315.616679502506	486.3862663244752	0.1742813204533586	276.7825241475245	1024.0530997281774	654.2574071405172	275.65166765528824	228.27383161038284	94.66253060789886
AEROBACTINSYN-PWY	aerobactin biosynthesis	57.80280447262724	2.4866416240980205	21.458032053838924	62.4152219157525	79.27101958158357	151.42465674159968	83.52535367544115	6.722286893383729	48.84907845456956	100.8353452293001	64.13110150691085	68.02176304748372	53.9891385170361	17.012188144331976
ALL-CHORISMATE-PWY	superpathway of chorismate metabolism	1157.1273799214273	64.03004806245129	414.7173974385304	1475.6564600998936	734.0249293121153	1417.7577254139662	522.2366475623064	40.01849005842971	735.5839720177095	1556.3418422904665	917.856811010162	674.8583262557697	1004.7052271277436	189.4017016469666
ANAEROFRUCAT-PWY	homolactic fermentation	65507.91649303872	20802.72114553231	26070.90266535669	60038.42492126192	21465.927219266203	52537.30754444922	9288.497313248005	1718.4185540510152	102635.9228995267	92586.74471047951	22201.72270604285	6223.894620388778	11855.2847438371	1119.207649795536
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	88398.48685203891	27786.05602871789	33467.872357959764	97962.05632207588	42647.77191098232	95801.71258402262	12821.442742826755	2502.3417053901994	153647.43369546713	136501.71484198762	37525.95957933296	8835.278854728189	17203.526028009743	2110.5284842508345
ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	23227.53593370029	5571.998529040245	8128.279692645958	22989.06731639176	11668.87894642047	16043.792219189674	4745.835702739482	451.5782316971192	14124.020040438374	41486.4824926046	12535.706209843818	2698.316687299824	3633.676607666942	436.9800637641797
ARGDEG-PWY	superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	50.785433629818485	2.2468930278336696	20.90061305175464	64.7455608593103	82.48555769104641	136.19604287984785	82.86411348215391	5.5792890727821085	83.71020883784884	97.200772309045	82.6546236473429	103.5187513116214	50.65297712107222	13.827250890024477
ARGORNPROST-PWY	arginine, ornithine and proline interconversion	11177.072802845656	2487.9446794720225	3822.903389944532	10981.114014877208	5321.560094661708	9613.614511814949	1128.1180011503304	150.7937175518234	27020.17431446388	15661.556706477775	5131.705038886687	1274.6829599704672	3133.0374080914253	159.22177483316992
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	55926.81229238716	14458.764618793968	18746.584405824888	66727.7834919458	25730.668838870333	56269.30337948295	7269.34979912825	1182.3783924843156	83263.72878942655	86788.65708656558	26361.97228870001	5641.798553674149	11346.75472306652	1239.9953637099347
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	53736.93664171813	12614.407457671105	17939.460646141277	67373.98464437005	25981.562634136662	57575.07062180277	6864.203897368619	1132.756315067954	71951.95369806964	82929.14288176004	26323.45496043313	5598.888740454694	11653.5469001257	1270.1077737619428
ARO-PWY	chorismate biosynthesis I	68799.01212193415	19744.14751194669	17888.5046509403	78220.24786113043	29955.89017388584	67466.72913143937	7656.854096879275	1024.7172839441212	108014.99640541834	105301.11196869124	28358.324424357805	7049.729684664088	14063.208551297696	1719.3989931584529
