	S210421121685	S210421121686	S210421121687	S210421121691	S210421121692	S210421121693	S210421121703	S210421121704	S210421121705	S210421121706	S210421121707	S210421121708	S210421121709	S210421121710
1CMET2-PWY	64829.17371540513	21490.253789063605	24766.434490452113	68788.14029144011	24808.91165117145	59638.8796353389	6947.8953320181645	1624.4807344869762	115520.21132124607	93232.80495457958	22586.674761616057	6019.1522158042235	10034.18406303236	1237.619283991947
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	29.106605843281613	0.3370526142173059	3.7071631603628026	209.22089606133605	128.4655984327306	315.616679502506	486.38626632447523	0.1742813204533586	276.7825241475245	1024.0530997281774	654.2574071405172	275.65166765528824	228.27383161038284	94.66253060789886
AEROBACTINSYN-PWY	57.80280447262724	2.4866416240980205	21.458032053838924	62.4152219157525	79.27101958158357	151.42465674159968	83.52535367544115	6.722286893383729	48.84907845456956	100.8353452293001	64.13110150691085	68.02176304748372	53.9891385170361	17.012188144331976
ALL-CHORISMATE-PWY	1157.1273799214273	64.03004806245129	414.71739743853044	1475.6564600998936	734.0249293121153	1417.7577254139662	522.2366475623064	40.01849005842971	735.5839720177095	1556.3418422904665	917.8568110101621	674.8583262557697	1004.7052271277436	189.40170164696661
ANAEROFRUCAT-PWY	65507.91649303872	20802.72114553231	26070.902665356694	60038.42492126192	21465.927219266203	52537.30754444922	9288.497313248005	1718.4185540510152	102635.9228995267	92586.74471047951	22201.72270604285	6223.894620388778	11855.2847438371	1119.207649795536
ANAGLYCOLYSIS-PWY	88398.48685203891	27786.05602871789	33467.872357959764	97962.05632207589	42647.77191098232	95801.71258402262	12821.442742826757	2502.3417053901994	153647.43369546713	136501.71484198762	37525.95957933296	8835.278854728189	17203.526028009743	2110.5284842508345
ARG+POLYAMINE-SYN	23227.53593370029	5571.998529040245	8128.279692645958	22989.067316391756	11668.87894642047	16043.792219189674	4745.835702739482	451.5782316971192	14124.020040438374	41486.4824926046	12535.706209843818	2698.3166872998236	3633.676607666942	436.98006376417965
ARGDEG-PWY	50.785433629818485	2.2468930278336696	20.900613051754636	64.7455608593103	82.48555769104641	136.19604287984785	82.86411348215391	5.5792890727821085	83.71020883784884	97.20077230904499	82.6546236473429	103.5187513116214	50.65297712107222	13.827250890024477
ARGORNPROST-PWY	11177.072802845656	2487.9446794720225	3822.9033899445317	10981.114014877207	5321.560094661708	9613.614511814949	1128.1180011503304	150.7937175518234	27020.174314463882	15661.556706477775	5131.705038886687	1274.6829599704672	3133.0374080914253	159.22177483316992
ARGSYN-PWY	55926.81229238716	14458.764618793968	18746.584405824888	66727.7834919458	25730.668838870333	56269.30337948295	7269.34979912825	1182.3783924843156	83263.72878942655	86788.65708656558	26361.97228870001	5641.798553674149	11346.754723066519	1239.9953637099347
ARGSYNBSUB-PWY	53736.93664171813	12614.407457671103	17939.460646141277	67373.98464437005	25981.562634136666	57575.07062180277	6864.203897368619	1132.756315067954	71951.95369806964	82929.14288176004	26323.454960433126	5598.888740454694	11653.5469001257	1270.1077737619428
ARO-PWY	68799.01212193415	19744.147511946692	17888.5046509403	78220.24786113043	29955.890173885837	67466.72913143937	7656.854096879275	1024.7172839441212	108014.99640541834	105301.11196869123	28358.324424357805	7049.7296846640875	14063.208551297696	1719.3989931584529
ASPASN-PWY	61029.631009178396	20738.159555158618	20878.165501548232	50634.69504394088	22498.29834468254	58448.95633254002	5617.538732760857	1401.6244138248112	120911.10839234327	87214.8725254977	19270.18699648137	5641.692074847095	10678.334352071608	1235.6439666515507
AST-PWY	79.32030411074258	3.3056915625346086	28.579433430082652	128.25678658477233	174.50647232546586	283.3822073251796	199.3536979729707	8.94922128257805	100.38980749622631	229.19274037353512	179.64328444963783	136.43428371897227	109.87926652285927	49.42471388065008
BIOTIN-BIOSYNTHESIS-PWY	39342.595000750705	14521.029437564122	4892.926420997539	21682.03636795695	2045.2276060540808	3045.994899059632	1513.475745168274	319.73629814047666	88591.44710840684	63857.8162681942	5735.470080552298	3984.8742920679524	2457.1144952338564	349.3621073515331
BRANCHED-CHAIN-AA-SYN-PWY	79691.2181618824	23454.520201002146	22863.167075265268	91112.82000575728	34408.48434615131	77065.8109972983	9452.973632913885	1343.1076904365384	135648.55043278594	122502.61279650903	34004.5779787518	8092.414202846998	16920.165269618214	2060.572519088034
CALVIN-PWY	83522.98401427871	26479.25077360031	27108.62006003008	92990.1769641633	31293.969994171148	59507.68749236979	10975.780447764311	1618.7844337278027	174496.61193180864	119299.59072956967	38909.51762984466	8231.358668045497	18440.756734420585	2300.3435756914873
CATECHOL-ORTHO-CLEAVAGE-PWY	15.919032104455997	0.03720129632344442	1.5320672401357074	134.5300162641849	138.94518707894298	258.68813485645114	379.05655529148345	0.0	46.07801475496801	508.10484895950844	364.78257183399535	169.35493295261452	513.889450814116	81.4359618713383
CENTBENZCOA-PWY	13.415774161098973	0.10850955954591286	1.4589433082341254	10.165114136198431	4.111520688987314	7.02171089608135	1.21310170887561	0.0	59.409048778199924	2.4334499079518257	4.3790335066681605	0.24612890654259287	2.5776614232076445	0.33987309902770285
CENTFERM-PWY	13620.594288120581	2889.4337407854673	3352.853208062648	8935.376525124564	5518.392249178661	8722.290381994755	2559.5097414456063	169.60428048995072	13403.156827156987	13722.540642257234	6592.098408009096	1769.6886537926046	2395.7541847447496	234.21467807392816
CHLOROPHYLL-SYN	20.09722165777719	0.5885262810504672	19.456137543891582	102.66014789759387	32.98257929242992	55.15560057270059	71.96658592864091	0.0	225.35684966530602	97.97980556492884	217.54616165265477	40.669438120130884	55.85547695243976	5.568119229860119
COA-PWY	67915.15101555118	22543.982599423358	27599.540758460113	70275.10850473461	27488.094970827686	61639.794415206576	8819.484589336009	2045.9827428927865	119179.93320371908	104524.47139587188	24560.703296406125	6465.965387873753	10844.745444217726	1337.1082135412519
COBALSYN-PWY	32231.30701868484	9186.723405854322	10640.03852866326	47002.02944249917	21767.215513934945	51026.543165722775	5749.200263555239	559.1856588594966	67866.13740785627	47560.8677082484	19260.275285310545	3595.8256808836773	14534.103775591859	1907.5950461561754
CODH-PWY	3220.390494488582	487.5153444333175	280.0157735668418	1571.3167026393955	518.321412309439	1160.2336771379669	408.10975218778	6.136737696740959	4632.934637491923	5655.321504752878	829.3406749726588	374.0298114549354	666.6014820547516	39.67429496406777
COLANSYN-PWY	40820.67332288898	13675.083776579431	10289.572004064434	39985.17158254607	8156.267238351219	14213.511151099226	2533.1547326397294	748.82715136675	43338.84276328283	70987.05274479667	11055.729689149259	4765.692225323666	5585.731525671043	697.5940206188228
COMPLETE-ARO-PWY	71646.03612458924	20467.50780388579	18698.736849354984	81348.16190743352	31892.644890273892	72204.17726537955	7980.191712641044	1075.4543917078781	112831.74573998053	110125.4240716377	29703.572276192095	7301.7497939853065	14754.859397559781	1812.3608625792565
CRNFORCAT-PWY	12.507271907170452	0.6688571247080078	12.454043511168559	134.89391585759762	84.32795347989769	177.6200761839823	44.87680673851315	0.0	78.72390501374745	49.72470866381885	40.10493074698368	138.22913338861662	55.74186234558023	3.438173019212832
DAPLYSINESYN-PWY	56577.65577983015	14870.483126206746	23481.39219105225	69702.05297864984	29367.054053337128	64613.70466416097	8889.254574998131	1455.5073326203571	92903.64428535204	91906.28274526543	29952.09699731082	6169.821357196526	12784.030334529536	1427.0666415944295
DENITRIFICATION-PWY	24.93804891792725	17.78615394020558	17.010777734010638	138.51705718756287	44.385449167557844	107.65037749347641	38.77791195605872	1.1285697970826363	120.28159324317804	1093.1765199320494	36.08686558106446	106.8059567667492	44.283105265826265	0.7373022176751197
