group	NC	NC	NC	NC	NR	NR	NR	NR	NR
id	S210421121673	S210421121674	S210421121675	S210421121676	S210421121677	S210421121678	S210421121679	S210421121680	S210421121681
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales	0.6562807136552671	0.7735281327062349	0.7842312757697572	0.8707848397052476	0.8069480641150119	0.790074074074074	0.8577349648070333	0.599077506965316	0.8851129509406372
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	0.0	2.2623808793623102e-05	0.0	0.0	0.0	0.0	0.0	0.0002906785424390672	0.0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales	0.029993871722431422	0.0034539014758264604	0.1521437855611889	0.0031120398787829327	0.1358781746640094	0.0	0.0	0.0002687405392361187	4.0617659204300054e-05
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales	0.0031065356731276956	0.10494933523708495	0.0017258743425752972	0.013562823902356259	0.001362699507724803	0.0017481481481481482	0.003765955759930231	0.053600026325603845	0.0045694866604837564
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales	0.0006552246456969085	0.00644024423658471	0.0006283732020348962	0.004379192072352243	0.0006813497538624015	0.001288888888888889	0.0012332954535444031	0.005138977250290678	0.0015705494892329355
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	0.010094313806354137	0.046647779975918215	0.00823771444311501	0.023440167865449914	0.0091215698298329	0.12435555555555555	0.0186668076147185	0.08916701401838405	0.03994069821756172
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales	0.09363931039533172	0.0033659199971845925	0.011160080225181411	0.025074579423596092	0.007988825864036656	0.0577037037037037	0.03056810874142199	0.0801614637035737	0.037740575010662136
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales	0.0007246013728883459	0.03775410936349171	0.0051001523589818635	0.006516169076761503	0.005731854804367452	0.0009037037037037037	0.0036734586009144004	0.000795252616106882	0.0014351572918852686
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales	0.1896451380404158	0.013637129189489481	0.022087748444130736	0.0181374580926997	0.015892483008840514	0.017155555555555556	0.07918197274417048	0.13962990588596627	0.01837272118007839
d__Bacteria;p__Firmicutes;c__Bacilli;__	0.001807649169599118	0.0043085786969188885	0.0041059454434335	0.002804916550511049	0.005821281959561892	0.0013185185185185186	0.0014359082780552692	0.006181032402430731	0.00228812813517557
